".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"SÃO JOSÉ DOS CORDEIROS",-36.8887145643154,-7.48439548021147,-68.1388449254871,37,13488.127947404,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9068061636839,-7.47799856602179,-67.1475550368568,40,12033.3675626979,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9117823912467,-7.46595479819889,-66.0407762356864,40,10593.7139621434,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8684369563296,-7.44583353260031,-64.582672052032,46,8956.59699254695,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8899884041337,-7.48822508413775,-68.3399600925515,37,13804.0789767629,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.915205511887,-7.44642261890194,-64.0701656006803,44,8443.40673841238,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9202356591153,-7.44364548388368,-63.5538976876182,50,7956.17478041149,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8993109179412,-7.46067813245079,-66.0638210728543,44,10621.8578328936,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.87255353181,-7.46257915736607,-66.0336065105669,43,10584.9730408383,TRUE
"SUMÉ",-36.8920723419714,-7.49661882377195,-68.7979713608514,37,14551.50787772,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8694277583047,-7.48796752550604,-67.5553625501679,37,12611.8140321018,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.884090449287,-7.48973259484826,-68.277399880615,37,13705.0121452276,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.906594385275,-7.45910462920053,-65.6342091902526,44,10109.2721955003,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.902109578567,-7.47727977690718,-67.2309736605325,40,12149.4918416559,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9191053063593,-7.45413551480009,-64.7151783972095,44,9094.28061115268,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9272133454712,-7.47046404547489,-66.0690113171965,46,10628.2068097456,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8850640360344,-7.45726888950413,-66.4776651018951,46,11140.192253591,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9218069458551,-7.44081163431017,-63.1592714225666,52,7602.79012300218,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9012209390834,-7.47752388923394,-67.2759311273069,40,12212.5396595679,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8895919372918,-7.45367928672081,-65.9851690100814,46,10526.1094436301,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8684876827973,-7.44424368613365,-64.4733452009215,46,8844.56933339197,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8982623853286,-7.48759744872304,-68.0599136113391,37,13366.1124723791,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8989370285378,-7.46122557403485,-66.123187831387,44,10694.705312153,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9175914599079,-7.49279269424232,-67.9922432481389,52,13262.3838402181,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8827087433295,-7.48429275987635,-67.9107972899632,37,13138.6061810613,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9007642706468,-7.47715915444738,-67.2637083667388,40,12195.366292554,TRUE
"SUMÉ",-36.8973278129737,-7.49952258001047,-68.844519891151,43,14629.7001615416,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.915545293203,-7.4773827225758,-66.8799115942465,40,11668.230785371,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9142785114361,-7.44814454925677,-64.2887367370916,44,8658.57189850178,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8922552802212,-7.47990506019874,-67.7302336487307,37,12868.2981050953,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8935056681031,-7.47140119307174,-67.1015428341339,40,11969.7911377476,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9233741371831,-7.46435205047449,-65.5869676304009,40,10054.4382736759,TRUE
