".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"SÃO JOSÉ DE PIRANHAS",-38.6233665643,-7.0641494802,-69.0499320684,45,14979.800659893,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6414581637,-7.057752566,-69.1843352909,42,15213.3968859284,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6464343912,-7.0457087982,-68.3292373741,44,13787.0483751053,TRUE
"CAJAZEIRAS",-38.6030889563,-7.0255875326,-68.3278532092,42,13784.8514754611,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6246404041,-7.0679790841,-69.023057203,45,14933.5235396074,TRUE
"CAJAZEIRAS",-38.6498575119,-7.0261766189,-66.8291297237,44,11600.21174983,TRUE
"CAJAZEIRAS",-38.6548876591,-7.0233994839,-66.5027809204,44,11172.4514661316,TRUE
"CAJAZEIRAS",-38.6339629179,-7.0404321325,-68.2302007473,44,13630.7410723283,TRUE
"CAJAZEIRAS",-38.6072055318,-7.0423331574,-68.8438216392,44,14628.5241385531,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.626724342,-7.0763728238,-68.94790275,45,14804.868976108,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6040797583,-7.0677215255,-67.7405480723,47,12883.5881813994,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6187424493,-7.0694865948,-68.6282022472,45,14269.8544389573,TRUE
"CAJAZEIRAS",-38.6412463853,-7.0388586292,-67.9574718575,44,13209.3979357559,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6367615786,-7.0570337769,-69.2204439338,42,15276.7730695048,TRUE
"CAJAZEIRAS",-38.6537573064,-7.0338895148,-67.3613965576,44,12333.298949714,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6618653455,-7.0502180455,-68.1134406236,44,13448.7357976785,TRUE
"CAJAZEIRAS",-38.619716036,-7.0370228895,-68.4065221519,44,13910.26931218,TRUE
"CAJAZEIRAS",-38.6564589459,-7.0205656343,-66.2322833781,44,10829.8788815136,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6358729391,-7.0572778892,-69.2512042491,42,15330.9703304658,TRUE
"CAJAZEIRAS",-38.6242439373,-7.0334332867,-68.0386683746,44,13333.4596026286,TRUE
"CAJAZEIRAS",-38.6031396828,-7.0239976861,-68.2358264128,42,13639.5722722659,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6329143853,-7.0673514487,-69.5142928893,45,15802.4372760325,TRUE
"CAJAZEIRAS",-38.6335890285,-7.040979574,-68.2753620705,44,13701.7971681416,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6522434599,-7.0725466942,-68.8542409462,42,14646.0825632047,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6173607433,-7.0640467599,-68.6961974049,45,14382.0005477916,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6354162706,-7.0569131544,-69.2377311417,42,15307.2081481109,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.631979813,-7.07927658,-69.2053647264,45,15250.2747147895,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6501972932,-7.0571367226,-68.9064102895,42,14734.3148280639,TRUE
