".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"SERRA BRANCA",-36.7596815643154,-7.49989348021147,-65.9394832215726,36,10470.8898692178,TRUE
"SERRA BRANCA",-36.7777731636839,-7.49349656602179,-66.9235927806179,36,11727.0579092748,TRUE
"SERRA BRANCA",-36.7827493912467,-7.48145279819889,-65.7923151940729,36,10294.9724893379,TRUE
"SERRA BRANCA",-36.7394039563296,-7.46133153260031,-63.7303529518066,41,8119.45872259644,TRUE
"SERRA BRANCA",-36.7609554041337,-7.50372308413775,-66.1400920340714,36,10715.5392747559,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.786172511887,-7.46192061890194,-63.7268253002912,40,8116.16178855179,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.7912026591153,-7.45914348388368,-63.2366065692394,40,7670.78409649042,TRUE
"SERRA BRANCA",-36.7702779179413,-7.47617613245079,-65.7235381117728,36,10213.776170745,TRUE
"SERRA BRANCA",-36.74352053181,-7.47807715736607,-64.0072642224005,36,8382.4822375206,TRUE
"SERRA BRANCA",-36.7630393419714,-7.51211682377195,-66.5408792617729,36,11221.5640795974,TRUE
"SERRA BRANCA",-36.7403947583047,-7.50346552550604,-64.1747982699651,36,8545.73348144927,TRUE
"SERRA BRANCA",-36.755057449287,-7.50523059484826,-65.6611798080444,36,10140.7113543286,TRUE
"SERRA BRANCA",-36.777561385275,-7.47460262920053,-65.3198099002801,36,9749.89470972142,TRUE
"SERRA BRANCA",-36.773076578567,-7.49277777690718,-66.9560355424791,36,11770.9416765259,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.7900723063593,-7.46963351480009,-64.4572118930139,40,8828.15653873479,TRUE
"SERRA BRANCA",-36.7981803454712,-7.48596204547489,-65.9353994587724,35,10465.968026815,TRUE
"SERRA BRANCA",-36.7560310360344,-7.47276688950413,-65.3422702511018,36,9775.1390359589,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.7927739458551,-7.45630963431017,-62.8364033164767,40,7325.37052295982,TRUE
"SERRA BRANCA",-36.7721879390834,-7.49302188923394,-66.8871324980881,36,11677.9350537828,TRUE
"SERRA BRANCA",-36.7605589372918,-7.46917728672081,-65.5640914844074,40,10027.9926029256,TRUE
"SERRA BRANCA",-36.7394546827973,-7.45974168613365,-63.7786245265394,41,8164.70799355212,TRUE
"SERRA BRANCA",-36.7692293853286,-7.50309544872304,-66.8134015816741,36,11579.2254493573,TRUE
"SERRA BRANCA",-36.7699040285378,-7.47672357403485,-65.7846482963869,36,10285.8892890052,TRUE
"SERRA BRANCA",-36.7885584599079,-7.50829069424232,-67.8563242137993,35,13056.465977615,TRUE
"SERRA BRANCA",-36.7536757433295,-7.49979075987635,-65.3870938074111,36,9825.7140506598,TRUE
"SERRA BRANCA",-36.7717312706468,-7.49265715444738,-66.8455051383462,36,11622.1021331523,TRUE
"SERRA BRANCA",-36.7682948129737,-7.51502058001047,-67.0340387180795,36,11877.1260779779,TRUE
"SERRA BRANCA",-36.786512293203,-7.4928807225758,-66.6957794205394,35,11423.4793703688,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.7852455114361,-7.46364254925677,-63.9511208877401,40,8328.47478261039,TRUE
"SERRA BRANCA",-36.7632222802212,-7.49540306019874,-66.16533893616,36,10746.7309820453,TRUE
"SERRA BRANCA",-36.7644726681031,-7.48689919307174,-66.1665333799685,36,10748.2089249455,TRUE
"SERRA BRANCA",-36.7943411371831,-7.47985005047449,-65.4082465270413,35,9849.67174128935,TRUE
"SERRA BRANCA",-36.7968325652249,-7.48621152157707,-65.9716825775268,35,10509.7784149355,TRUE
"SERRA BRANCA",-36.7603972704682,-7.50465094391534,-66.1153016460399,36,10684.9996681956,TRUE
"SERRA BRANCA",-36.7432480880219,-7.46618160088358,-64.0669532640976,37,8440.28465759141,TRUE
"SERRA BRANCA",-36.7630794546587,-7.47571599570846,-65.9781088802189,36,10517.5570088222,TRUE
"SERRA BRANCA",-36.7653109551195,-7.46816960835641,-65.2456292694184,40,9666.9816493977,TRUE
"SERRA BRANCA",-36.7674033365652,-7.50934738244673,-66.8119630315378,36,11577.3078660429,TRUE
"SERRA BRANCA",-36.7398592865673,-7.47240134323759,-63.5966455445272,36,7995.42783785495,TRUE
"SERRA BRANCA",-36.7685064906601,-7.49114753422139,-66.5598134361523,36,11246.052394409,TRUE
"SERRA BRANCA",-36.7579977152796,-7.46656722235305,-65.4849882003676,40,9937.08124795354,TRUE
"SERRA BRANCA",-36.762872526941,-7.4770003883708,-65.9784770725553,36,10518.0028544555,TRUE
"SERRA BRANCA",-36.7846328793347,-7.46884803426263,-64.5261076322296,40,8898.45917561029,TRUE
"SERRA BRANCA",-36.7834750443997,-7.48264182130152,-65.8809080894101,36,10400.5147721901,TRUE
"SERRA BRANCA",-36.7552064225982,-7.48404082518814,-65.2764292389963,36,9701.32139721824,TRUE
"SERRA BRANCA",-36.7718107501158,-7.46846262609863,-64.9725501901083,40,9367.78555067771,TRUE
"SERRA BRANCA",-36.7884573938951,-7.51442412785997,-68.2918167545611,35,13727.7786673006,TRUE
"SERRA BRANCA",-36.7541631038228,-7.48719019609781,-65.2035493500424,36,9620.26196364011,TRUE
"SERRA BRANCA",-36.792665741576,-7.47188517567979,-64.6371949621248,39,9012.99601023119,TRUE
"SERRA BRANCA",-36.7470923030583,-7.47426010661104,-64.4118739177832,36,8782.19602410729,TRUE
"SERRA BRANCA",-36.7620863016994,-7.48716682267187,-65.9546786201505,36,10489.2240420637,TRUE
