".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"SANTANA DOS GARROTES",-38.0081432431272,-7.30709500288972,-64.158759318262,19,8529.96789592615,TRUE
"NOVA OLINDA",-38.023543948055,-7.44546074354471,-57.4309535354955,23,3931.48938568325,TRUE
"PIANCÓ",-37.8747031487093,-7.1904157135115,-59.4639328969945,10,4968.28013657008,TRUE
"PEDRA BRANCA",-38.0719247185427,-7.43869594581807,-46.7089368771845,19,1144.07968633531,TRUE
"JURU",-37.8104888781474,-7.41337501168633,-68.9299695316197,14,14774.3338129127,TRUE
"SÃO BENTINHO",-37.716188507484,-6.96829528726553,-64.0234282983059,29,8398.09620895976,TRUE
"SANTANA DOS GARROTES",-37.9467127740883,-7.40247195439329,-60.0611867808725,18,5321.92524330604,TRUE
"PIANCÓ",-38.0844888150261,-7.30073239541994,-61.654066451725,25,6393.11848381195,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.163206405685,-7.00537031357558,-61.8542867182735,42,6542.19924564067,TRUE
"OLHO D ÁGUA",-37.8290162141004,-7.38411179934079,-70.5581465331964,12,17820.3716588244,TRUE
"OLHO D ÁGUA",-37.8123572912102,-7.35816343866205,-69.747895811238,12,16233.2030610557,TRUE
"OLHO D ÁGUA",-37.7084366031724,-7.22534476410979,-59.2319059753991,10,4837.31901481543,TRUE
"CAJAZEIRINHAS",-37.8289666514412,-6.99212841321165,-58.8952879365994,27,4653.436881032,TRUE
"COREMAS",-37.8778438544634,-7.02019896653397,-62.8725820851697,22,7355.94604316373,TRUE
"AGUIAR",-38.0942932994605,-7.07872615362899,-64.1062299610762,23,8478.53717597315,TRUE
"EMAS",-37.6761267746135,-7.15887703925287,-62.6858074237098,18,7199.45799038716,TRUE
"OLHO D ÁGUA",-37.7238775392563,-7.20483713205354,-57.1221650991826,9,3794.17786158613,TRUE
"PIANCÓ",-37.9181637473905,-7.28041440275879,-64.1310439352981,18,8502.79341399181,TRUE
"IMACULADA",-37.7380876969348,-7.36688977553891,-69.5431085698324,17,15854.9493583679,TRUE
"OLHO D ÁGUA",-37.7510162425262,-7.2056528733057,-51.8083230236877,11,2057.90622983007,TRUE
"OLHO D ÁGUA",-37.7727048086037,-7.34386360265231,-68.097032708466,12,13423.3546986774,TRUE
"EMAS",-37.7132814590388,-7.10553620620081,0,21,118.743629260394,TRUE
"OLHO D ÁGUA",-37.6991008451243,-7.26382588599259,-62.8314153937446,18,7321.16509386814,TRUE
"OLHO D ÁGUA",-37.8104309745633,-7.27054570828946,-63.8373073045562,8,8220.05637310526,TRUE
"OLHO D ÁGUA",-37.8364240953035,-7.41472567808265,-69.0499703841561,14,14979.8667398887,TRUE
"OLHO D ÁGUA",-37.788957875435,-7.20421102472497,-58.8356089514569,12,4621.57364875957,TRUE
"ITAPORANGA",-38.1674479211017,-7.24614825720815,-61.0401614396071,26,5956.8615005376,TRUE
"SANTANA DOS GARROTES",-37.9505699536332,-7.43761261102659,-63.0948081835202,19,7546.57408500535,TRUE
"SANTANA DOS GARROTES",-37.9385998856544,-7.38317827232564,-60.6905341024713,16,5721.84561766445,TRUE
"PIANCÓ",-38.0458066154771,-7.24664517880333,-66.9914055418712,23,11818.9721096806,TRUE
"PIANCÓ",-38.0225931424449,-7.193261086749,-66.1451885262718,17,10721.8285196795,TRUE
"PIANCÓ",-38.0801020237652,-7.28188022078862,-62.3808940429537,23,6951.1095465239,TRUE
"PIANCÓ",-38.003761897193,-7.23983009734107,-65.3397902212102,19,9772.34839764602,TRUE
"SANTANA DOS GARROTES",-37.8911859825986,-7.34451338280374,-66.9187731042233,15,11720.5525369764,TRUE
"COREMAS",-37.8629403043107,-7.03938579807905,-64.8486534442224,19,9235.11064231638,TRUE
"PIANCÓ",-37.8909713951672,-7.12470390640115,-64.6220803216307,10,8997.32579785439,TRUE
"PIANCÓ",-37.9290826921153,-7.30728324646512,-66.1257868412309,16,10697.9058827902,TRUE
"OLHO D ÁGUA",-37.7630367812037,-7.39394189642658,-70.447656046543,14,17595.1199974745,TRUE
"OLHO D ÁGUA",-37.9018947236274,-7.31771852278067,-67.1931163759804,15,12096.6537434353,TRUE
"PEDRA BRANCA",-38.1037784516613,-7.41679042558567,-57.645266200789,24,4029.70023593573,TRUE
"OLHO D ÁGUA",-37.676274590058,-7.32199197126934,-68.2640585530804,18,13683.9777188186,TRUE
"SANTANA DOS GARROTES",-37.9133637782454,-7.33821428559637,-65.3626240402588,15,9798.07214055227,TRUE
"PIANCÓ",-38.0422805332148,-7.19888301884671,-67.5097480740273,20,12545.7559318176,TRUE
"EMAS",-37.6906093854724,-7.11899688657755,-55.0103266029922,19,2975.26573622153,TRUE
"OLHO D ÁGUA",-37.7292620694299,-7.28120699738534,-62.1810942805824,15,6793.03957536006,TRUE
"CAJAZEIRINHAS",-37.8672409218072,-7.01377598700961,-64.1913993347332,22,8562.08228871136,TRUE
"PIANCÓ",-37.7920712691068,-7.12682494839569,-64.5288470654228,16,8901.26609348854,TRUE
"JURU",-37.7462489193805,-7.43882960224906,-68.2723086087198,21,13696.9812468023,TRUE
"PIANCÓ",-37.9629670573433,-7.18113749443469,-58.6781995011104,19,4538.5738421493,TRUE
"AGUIAR",-38.1286618446267,-7.02853838032493,-64.1010557696638,17,8473.4880086343,TRUE
"OLHO D ÁGUA",-37.7123689519742,-7.19429193825377,-60.3585545487377,9,5507.28001008322,TRUE
"PIANCÓ",-38.0354308174958,-7.14683951720977,-68.0791535223591,19,13395.7522506242,TRUE
"OLHO D ÁGUA",-37.7221917661174,-7.23292236453304,-56.3045249954388,10,3453.31090827513,TRUE
"PIANCÓ",-38.0846331841114,-7.28961757562971,-61.5870065326675,23,6343.95008654852,TRUE
"OLHO D ÁGUA",-37.8123829657945,-7.33475628755437,-68.4081283064318,10,13912.8417726634,TRUE
"PIANCÓ",-37.9150172647589,-7.22400678547015,-52.7167786543552,17,2284.80091189845,TRUE
"OLHO D ÁGUA",-37.7230514578789,-7.23945785434367,-56.7513797440849,10,3635.61944791345,TRUE
"AGUIAR",-38.1336355277837,-7.03786861993754,-62.815989409588,20,7308.17437507271,TRUE
"PEDRA BRANCA",-38.0772817885538,-7.36439044160684,-62.6455748208865,25,7166.18757692693,TRUE
"OLHO D ÁGUA",-37.7791303052601,-7.14722820526836,-64.1217463552195,12,8493.69669394769,TRUE
"SANTANA DOS GARROTES",-37.9503844792291,-7.37835241613826,-58.4871044290721,18,4439.81273080227,TRUE
"COREMAS",-37.8635002333705,-7.06953822837127,-65.9155263129587,18,10442.0494694517,TRUE
"ITAPORANGA",-38.1148232080542,-7.35867809671359,-61.1128027503658,27,6006.88846669301,TRUE
"IGARACY",-38.1309553909616,-7.15580333226276,-57.5288959399375,27,3976.07188617312,TRUE
"COREMAS",-37.858286936864,-7.07006389384074,-66.3423776756072,18,10968.0220401162,TRUE
"ITAPORANGA",-38.117611947566,-7.35432112605227,-60.2441083031273,27,5435.19144402265,TRUE
"PEDRA BRANCA",-38.1030605269863,-7.41704964676788,-57.4616952905592,24,3945.42866206121,TRUE
"IGARACY",-38.0841978707851,-7.19647605441892,-63.5304679080876,26,7934.74229201352,TRUE
"SANTANA DOS GARROTES",-38.0215923562448,-7.34963639201047,-59.4826152919401,20,4978.97786234482,TRUE
"COREMAS",-38.0276281044154,-7.13585232959045,-67.9603274355467,19,13213.7413789887,TRUE
"PIANCÓ",-37.938398846056,-7.10269626129335,-64.7081087567096,12,9086.88158360072,TRUE
"PIANCÓ",-37.9324481545283,-7.23294570173053,-56.74865002974,18,3634.47706138809,TRUE
"PIANCÓ",-37.9911024966079,-7.2326190419673,-63.7774863106828,19,8163.63814445002,TRUE
"OLHO D ÁGUA",-37.7945207570248,-7.34346398587255,-68.4561739356528,9,13990.0133041285,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.1668438267463,-6.97627293567089,-55.958795145788,42,3318.5562852078,TRUE
"OLHO D ÁGUA",-37.6931292945321,-7.17785541263325,-63.8953564324794,11,8275.1762482413,TRUE
"SANTANA DOS GARROTES",-37.9792079790297,-7.3104829008636,-63.6273480398225,17,8023.73972789851,TRUE
"PIANCÓ",-37.9276046863326,-7.27954764260826,-64.1043150430074,17,8476.66817749904,TRUE
"OLHO D ÁGUA",-37.8675796310219,-7.26371412961194,-64.2919537998838,10,8661.77943736739,TRUE
"OLHO D ÁGUA",-37.9054089537623,-7.33556998571763,-66.1334091614648,15,10707.2979724197,TRUE
"BOA VENTURA",-38.1429061528563,-7.42028700552797,-63.7205374975381,24,8110.28854361844,TRUE
"OLHO D ÁGUA",-37.7589151484228,-7.19757053201934,-55.1936224971752,11,3038.71909952663,TRUE
"PIANCÓ",-37.8194049483665,-7.19165466962764,-63.8667765321579,12,8247.9924991138,TRUE
"OLHO D ÁGUA",-37.8300171714311,-7.3277572051567,-68.6554238613104,10,14314.646374209,TRUE
"AGUIAR",-38.1418443736422,-7.03885261578867,-62.1384629890674,20,6759.78028480211,TRUE
"PIANCÓ",-37.8893417289748,-7.23616815711753,-59.1356731499694,17,4784.02111942163,TRUE
"SANTANA DOS GARROTES",-37.9803417520399,-7.35002001646822,-56.962749753236,18,3725.17704721822,TRUE
"EMAS",-37.8052690062706,-7.12127010446889,-65.7097445915203,16,10197.5691811299,TRUE
"COREMAS",-37.9449602608603,-7.03907954766797,-51.6810411973744,19,2027.96983395627,TRUE
"OLHO D ÁGUA",-37.875652786208,-7.3329691427472,-68.3309518129028,15,13789.7699597317,TRUE
