".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"QUEIMADAS",-35.9661514431272,-7.34045030288972,-62.776880746784,284,7275.34291391118,TRUE
"BARRA DE SANTANA",-35.981552148055,-7.47881604354471,-59.644189381016,185,5072.46313915525,TRUE
"CAMPINA GRANDE",-35.8327113487093,-7.2237710135115,-54.7930195799673,324,2901.75278350678,TRUE
"BARRA DE SANTANA",-36.0299329185427,-7.47205124581807,-61.125049838961,128,6015.36414244755,TRUE
"FAGUNDES",-35.7684970781474,-7.44673031168633,-65.9745966069879,262,10513.3049324378,TRUE
"AREIA",-35.674196707484,-7.00165058726553,-59.4100490724117,101,4937.55429527421,TRUE
"QUEIMADAS",-35.9047209740883,-7.43582725439329,-63.0623975468882,281,7518.46717644518,TRUE
"CAMPINA GRANDE",-36.0424970150261,-7.33408769541994,-65.2296264811737,292,9649.18770466004,TRUE
"POCINHOS",-36.121214605685,-7.03872561357558,-63.7534628277936,79,8141.09030355468,TRUE
"FAGUNDES",-35.7870244141004,-7.41746709934079,-62.6662620054496,287,7183.27562810819,TRUE
"FAGUNDES",-35.7703654912102,-7.39151873866205,-58.5943428288383,291,4494.96766721589,TRUE
"RIACHÃO DO BACAMARTE",-35.6664448031724,-7.25870006410979,-47.4421629687538,290,1244.8515922898,TRUE
"ESPERANÇA",-35.7869748514413,-7.02548371321164,-58.2844114934752,299,4337.40529578294,TRUE
"ALAGOA NOVA",-35.8358520544634,-7.05355426653397,-55.8391407468431,313,3273.15421827406,TRUE
"POCINHOS",-36.0523014994605,-7.11208145362899,-57.0931713115365,279,3781.53388481208,TRUE
"INGÁ",-35.6341349746135,-7.19223233925287,-59.5659080913481,214,5026.95312167488,TRUE
"RIACHÃO DO BACAMARTE",-35.6818857392563,-7.23819243205354,-47.2006178598182,290,1210.71054130055,TRUE
"QUEIMADAS",-35.8761719473905,-7.31376970275879,-54.7528287666057,289,2888.35698781628,TRUE
"ITATUBA",-35.6960958969348,-7.40024507553891,-63.523084180019,216,7927.99996779026,TRUE
"MASSARANDUBA",-35.7090244425262,-7.23900817330569,-54.5822912286043,303,2832.20048058018,TRUE
"FAGUNDES",-35.7307130086037,-7.3772189026523,-61.5485170689241,291,6315.90056682837,TRUE
"ALAGOA GRANDE",-35.6712896590388,-7.13889150620081,-60.5264385263357,281,5614.76206501797,TRUE
"INGÁ",-35.6571090451243,-7.29718118599259,-58.1776358214052,268,4284.41194818378,TRUE
"CAMPINA GRANDE",-35.7684391745633,-7.30390100828946,-56.1264768657336,297,3383.24363936135,TRUE
"FAGUNDES",-35.7944322953035,-7.44808097808265,-66.0739582928681,274,10634.261739993,TRUE
"MASSARANDUBA",-35.746966075435,-7.23756632472497,-58.4319180734165,310,4411.69351969415,TRUE
"BOA VISTA",-36.1254561211017,-7.27950355720815,-67.9009946628474,275,13123.7867193725,TRUE
"QUEIMADAS",-35.9085781536332,-7.47096791102659,-66.2240036107956,273,10819.5602893368,TRUE
"QUEIMADAS",-35.8966080856544,-7.41653357232564,-60.3266230552883,289,5487.07104658074,TRUE
"CAMPINA GRANDE",-36.0038148154772,-7.28000047880333,-64.4773955052535,301,8848.69459316482,TRUE
