".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"CAMALAÚ",-36.6343889305584,-7.89760451683914,-66.5847897289828,23,11278.4369789622,TRUE
"CARAÚBAS",-36.562773133184,-7.74792166025518,-63.7763609740479,21,8162.58053879683,TRUE
"CONGO",-36.6399550271902,-7.7229523535273,-64.3161543946566,39,8685.94650785396,TRUE
"CARAÚBAS",-36.5588807386096,-7.85760032473272,-67.7584808167334,29,12910.214902128,TRUE
"CONGO",-36.5957637225494,-7.87760707534989,-66.5458358798761,25,11227.9695122143,TRUE
"CONGO",-36.5854675820779,-7.90469757550536,-67.9028222703293,23,13126.5484001381,TRUE
"CARAÚBAS",-36.5353190664883,-7.87571969916252,-67.617858619314,26,12702.884861524,TRUE
"CONGO",-36.6919306630019,-7.78314362689061,-57.4129593714668,29,3923.35312791643,TRUE
"CAMALAÚ",-36.7016532921448,-7.90690115130646,-67.6814167906438,18,12796.1779286499,TRUE
"CAMALAÚ",-36.6313600280072,-7.90981173467962,-67.5947404428883,21,12669.12009102,TRUE
"CONGO",-36.5772393390752,-7.83293726056954,-65.4347518718175,24,9879.77432065155,TRUE
"CONGO",-36.6729687756143,-7.74870058814203,-60.7035099722688,35,5730.39988355248,TRUE
"CONGO",-36.5899556533649,-7.83622700892529,-64.3949947285632,24,8765.14625547229,TRUE
"CAMALAÚ",-36.7143156306103,-7.8353142632558,-62.7032979080059,38,7213.96990336029,TRUE
"CAMALAÚ",-36.7121087585326,-7.85849302447541,-64.3713333831477,41,8741.30149872228,TRUE
"CONGO",-36.6137494538661,-7.8236098367176,-60.797941498331,22,5793.03971169323,TRUE
"CONGO",-36.6507284596778,-7.81995526975161,-53.6598671004253,35,2546.84658899351,TRUE
"CONGO",-36.6007902201947,-7.80333519055648,-61.8715971050791,22,6555.25040412945,TRUE
"CONGO",-36.6063207665209,-7.77834073402127,-61.5921334263133,22,6347.69574296257,TRUE
"CARAÚBAS",-36.5460175627593,-7.88893691249331,-66.9972974130231,24,11826.9919541635,TRUE
"CONGO",-36.5994182956621,-7.86780326649686,-65.660253029739,25,10139.6294052935,TRUE
"CARAÚBAS",-36.5541687803559,-7.75390943050524,-63.0269139361823,21,7487.81537393485,TRUE
"CONGO",-36.562986014805,-7.89190609207517,-67.4946671199319,25,12523.9921493629,TRUE
"CARAÚBAS",-36.5425515620254,-7.76951060676156,-62.7901940870172,23,7286.50278217447,TRUE
"CONGO",-36.5701967885468,-7.86791209135344,-67.4845940275909,27,12509.4763989592,TRUE
"CONGO",-36.5993252688769,-7.85788798140502,-64.9567951403033,25,9350.80903351108,TRUE
"CONGO",-36.6153568662919,-7.81052310964232,-59.6830873867615,22,5095.23008329552,TRUE
"CONGO",-36.5999461233832,-7.87375931464275,-66.0517589147888,25,10607.117419155,TRUE
"CONGO",-36.5713939854625,-7.82359083498968,-65.6719286030889,26,10153.2682603432,TRUE
"CONGO",-36.6171775883745,-7.7775128408256,-60.0046785753939,22,5287.41452178515,TRUE
"CONGO",-36.5706954090141,-7.86330005376739,-67.238728668456,27,12160.3440954631,TRUE
"CONGO",-36.6880870609294,-7.73282372084586,-63.5294001709376,37,7933.76695169037,TRUE
"CARAÚBAS",-36.5360530769668,-7.73492542262329,-59.4578570743294,21,4964.80601532114,TRUE
"CONGO",-36.6962471242279,-7.7486640490978,-62.2413148127315,33,6840.30034717597,TRUE
"CAMALAÚ",-36.7278228208173,-7.78482377835689,-63.1956777435126,29,7634.72358205683,TRUE
"CARAÚBAS",-36.5530845172919,-7.72325919106742,-62.1791719350925,24,6791.5363184006,TRUE
"CARAÚBAS",-36.5641330391384,-7.77269441512553,-65.0279251809919,21,9427.69859825122,TRUE
"CARAÚBAS",-36.6028671951715,-7.74273625220312,-64.4807134865959,26,8852.07541115546,TRUE
"CARAÚBAS",-36.5562025660865,-7.83454780796683,-67.2056301740491,26,12114.0940039397,TRUE
"CONGO",-36.6120484912984,-7.83325071073277,-61.8213666830007,22,6517.45085226076,TRUE
"CONGO",-36.6710537284363,-7.79378033400653,-48.0698757271911,38,1338.14512753519,TRUE
