".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"SERRA BRANCA",-36.7534047305584,-7.63612781683914,-67.9575957287622,36,13209.5863191184,TRUE
"SERRA BRANCA",-36.681788933184,-7.48644496025518,-50.9872031973499,33,1872.27479419397,TRUE
"SERRA BRANCA",-36.7589708271902,-7.4614756535273,-65.0132318614801,40,9411.76389338248,TRUE
"COXIXOLA",-36.6778965386096,-7.59612362473272,-64.402392721372,39,8772.61493333493,TRUE
"SERRA BRANCA",-36.7147795225494,-7.61613037534989,-67.2359365165251,36,12156.4356792936,TRUE
"COXIXOLA",-36.7044833820779,-7.64322087550536,-66.4180705714816,34,11064.0201815573,TRUE
"COXIXOLA",-36.6543348664883,-7.61424299916252,-60.5564483812608,39,5634.19468726226,TRUE
"SERRA BRANCA",-36.8109464630019,-7.52166692689061,-68.6843966515173,38,14362.4742573651,TRUE
"SUMÉ",-36.8206690921448,-7.64542445130646,-60.8316460928235,45,5815.56260566758,TRUE
"SERRA BRANCA",-36.7503758280072,-7.64833503467962,-68.0033672602951,39,13279.3798460298,TRUE
"SERRA BRANCA",-36.6962551390752,-7.57146056056954,-65.8768501964882,41,10395.6569717744,TRUE
"SERRA BRANCA",-36.7919845756143,-7.48722388814203,-66.1243646567516,35,10696.1544041455,TRUE
"SERRA BRANCA",-36.7089714533649,-7.57475030892529,-66.6166073169643,39,11319.8271810072,TRUE
"SUMÉ",-36.8333314306103,-7.5738375632558,-66.2181891474549,36,10812.3199388879,TRUE
"SERRA BRANCA",-36.8311245585326,-7.59701632447541,-64.2357480661079,42,8605.91067508609,TRUE
"SERRA BRANCA",-36.7327652538661,-7.5621331367176,-66.9054263092052,36,11702.5564889969,TRUE
"SERRA BRANCA",-36.7697442596778,-7.55847856975161,-68.7193356111077,38,14420.3636098129,TRUE
"SERRA BRANCA",-36.7198060201947,-7.54185849055648,-64.7175209455241,36,9096.73363158424,TRUE
"SERRA BRANCA",-36.7253365665209,-7.51686403402127,-63.3127826149235,36,7738.35343538285,TRUE
"COXIXOLA",-36.6650333627593,-7.62746021249331,-61.9192618142887,37,6591.32189475006,TRUE
"SERRA BRANCA",-36.7184340956621,-7.60632656649686,-67.6302060707859,36,12720.9555253029,TRUE
"SERRA BRANCA",-36.6731845803559,-7.49243273050524,-49.7608757255617,30,1625.74795725011,TRUE
"COXIXOLA",-36.682001814805,-7.63042939207517,-64.0927874120841,38,8465.42568049906,TRUE
"SERRA BRANCA",-36.6615673620254,-7.50803390676156,-53.8946559829708,32,2616.62947903265,TRUE
"COXIXOLA",-36.6892125885468,-7.60643539135344,-65.1616274356561,39,9573.94222804823,TRUE
"SERRA BRANCA",-36.7183410688769,-7.59641128140502,-67.7966223144349,36,12967.0309202443,TRUE
"SERRA BRANCA",-36.7343726662919,-7.54904640964232,-66.2212539315057,36,10816.1356991587,TRUE
"SERRA BRANCA",-36.7189619233832,-7.61228261464275,-67.5941661066302,36,12668.2823996874,TRUE
"SERRA BRANCA",-36.6904097854625,-7.56211413498968,-64.8135000229084,41,9197.80995313744,TRUE
"SERRA BRANCA",-36.7361933883745,-7.5160361408256,-64.3365303076462,36,8706.34647266531,TRUE
"COXIXOLA",-36.6897112090141,-7.60182335376739,-65.3366355837812,39,9768.79981255911,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8071028609294,-7.47134702084586,-64.4237439664278,39,8794.20588849212,TRUE
"SERRA BRANCA",-36.6550688769668,-7.47344872262329,-48.0687358277433,16,1337.96952654673,TRUE
"SERRA BRANCA",-36.8152629242279,-7.4871873490978,-66.0263891456222,38,10576.1813239689,TRUE
"SERRA BRANCA",-36.8468386208173,-7.52334707835689,-69.1561411935669,39,15164.0947856057,TRUE
"SERRA BRANCA",-36.6721003172919,-7.46178249106742,-50.527914669911,16,1775.8454390477,TRUE
"SERRA BRANCA",-36.6831488391384,-7.51121771512553,-57.2637271123348,33,3856.52176145848,TRUE
"SERRA BRANCA",-36.7218829951715,-7.48125955220312,-61.1178813441027,36,6010.40168959395,TRUE
"SERRA BRANCA",-36.6752183660865,-7.57307110796683,-65.4100487592356,41,9851.71565826257,TRUE
"SERRA BRANCA",-36.7310642912984,-7.57177401073277,-67.4005709193654,36,12389.0491726129,TRUE
"SERRA BRANCA",-36.7900695284363,-7.53230363400653,-68.9623079685577,35,14829.4426614413,TRUE
"SERRA BRANCA",-36.6819767435547,-7.54390449803323,-62.4251443905189,41,6986.61239839662,TRUE
"SERRA BRANCA",-36.7302339819726,-7.45447282181121,-62.8749058780768,41,7357.91429083327,TRUE
"COXIXOLA",-36.7079375843052,-7.61047008093446,-66.752526936477,36,11498.3567108466,TRUE
"SERRA BRANCA",-36.7832372652367,-7.48115480253473,-65.7532455146207,36,10248.7690446337,TRUE
"SERRA BRANCA",-36.7335697069298,-7.63099441621453,-68.5582702980813,36,14155.4260605324,TRUE
"SERRA BRANCA",-36.7644825048279,-7.57376979934052,-69.1276946511934,36,15114.5131670173,TRUE
"COXIXOLA",-36.6763411480468,-7.64082317575812,-63.5538143885034,36,7956.0984797485,TRUE
"SERRA BRANCA",-36.7582283430267,-7.61947523220442,-68.0030205628195,33,13278.84980987,TRUE
"SERRA BRANCA",-36.7648047165945,-7.49505636263639,-66.2973793477952,36,10911.3477733323,TRUE
"SERRA BRANCA",-36.7973813580349,-7.57108271215111,-67.8653964305703,39,13070.1102876218,TRUE
"SERRA BRANCA",-36.6919620719273,-7.57769738184288,-66.2719564346955,41,10879.4578124664,TRUE
"SERRA BRANCA",-36.829629048286,-7.56578199109062,-66.9711195741975,36,11791.4010105688,TRUE
"SUMÉ",-36.8333057586104,-7.58559769513085,-65.2022960487596,36,9618.87394038229,TRUE
"SERRA BRANCA",-36.7798984786961,-7.53956783385947,-68.5772786106295,35,14186.4378978781,TRUE
"SERRA BRANCA",-36.7100743231364,-7.45574690834619,-59.9527632609683,34,5255.90605253093,TRUE
"SERRA BRANCA",-36.7105326632969,-7.53840793618001,-63.7206146300864,36,8110.36056502635,TRUE
"SERRA BRANCA",-36.8367001523729,-7.53517101714387,-68.9272079098671,36,14769.6371568648,TRUE
"SERRA BRANCA",-36.7641252316535,-7.52173036746681,-66.9324268609525,36,11738.9911108782,TRUE
"SERRA BRANCA",-36.7999932211824,-7.48521020314656,-65.8506498815123,35,10364.3465222585,TRUE
"SERRA BRANCA",-36.7496602590661,-7.50003232867457,-65.0068837042877,36,9404.88773779857,TRUE
"SERRA BRANCA",-36.7440375313628,-7.56306723607704,-67.5816619753651,35,12650.0583711233,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8297357691452,-7.45382621139288,-62.7642658987847,43,7264.78432576301,TRUE
"SERRA BRANCA",-36.7765770399012,-7.53882798342966,-68.3542057197123,35,13826.7374629581,TRUE
"SERRA BRANCA",-36.7660169538576,-7.5911512165796,-68.4887771122571,33,14042.6246087593,TRUE
"SERRA BRANCA",-36.7470572587103,-7.6180819096975,-68.7559427055018,33,14481.2671674239,TRUE
"COXIXOLA",-36.674423527671,-7.62156021627597,-63.2297774638178,39,7664.75546756761,TRUE
"SERRA BRANCA",-36.6593964936212,-7.4995946560055,-50.087227808754,32,1687.99369902331,TRUE
"SERRA BRANCA",-36.751865237765,-7.57904471866786,-68.77264660757,33,14509.1430007177,TRUE
"SERRA BRANCA",-36.7205183542799,-7.49721325351857,-61.4549528331351,36,6248.23092999192,TRUE
"SERRA BRANCA",-36.6869635283016,-7.58724239286967,-65.6250409656359,41,10098.6071762779,TRUE
"SERRA BRANCA",-36.7980516936164,-7.50704569965601,-67.6763269021399,35,12788.6816280846,TRUE
"SERRA BRANCA",-36.7640275179874,-7.52834820454009,-67.1630009575644,36,12054.7852652032,TRUE
"SERRA BRANCA",-36.6984339692164,-7.57326274234801,-66.1044806037999,39,10671.6963860996,TRUE
"SERRA BRANCA",-36.6765404002275,-7.58684259713627,-64.7296959176021,41,9109.49342240429,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8224750277586,-7.45933589451015,-63.1960872621025,43,7635.08354920716,TRUE
"SERRA BRANCA",-36.7912104924209,-7.49248093734495,-66.5888286585512,35,11283.6826598476,TRUE
"SERRA BRANCA",-36.7675456486642,-7.50964428610168,-66.8307442556028,36,11602.3681959802,TRUE
"SUMÉ",-36.8164652338251,-7.61848388197832,-63.3697249112339,39,7789.25059733353,TRUE
"SERRA BRANCA",-36.7065838065464,-7.48688700152561,-58.4802152275671,36,4436.29269553792,TRUE
"SERRA BRANCA",-36.7206583562773,-7.54163883212023,-64.7657376836798,36,9147.37144850608,TRUE
"SERRA BRANCA",-36.7906282133423,-7.47444060547277,-64.9414228886395,39,9334.27464580448,TRUE
"SUMÉ",-36.8175215663854,-7.62523159314878,-62.7218582521879,39,7229.40147416545,TRUE
"SERRA BRANCA",-36.79369818056,-7.60144627750851,-66.3075828249654,36,10924.1730694206,TRUE
"SERRA BRANCA",-36.6869420487899,-7.50631732279435,-57.0556909419876,33,3765.25139251774,TRUE
"SERRA BRANCA",-36.7479488722514,-7.59757305011153,-69.2650710734883,33,15355.4654221031,TRUE
"SERRA BRANCA",-36.7397149911616,-7.63894276032224,-68.8356440815848,39,14614.7582136448,TRUE
"SERRA BRANCA",-36.7982838618569,-7.47443153518252,-64.8129247119346,39,9197.20075523377,TRUE
"SERRA BRANCA",-36.6801275033038,-7.57423008694313,-65.6811322227833,41,10164.0324249262,TRUE
"SERRA BRANCA",-36.7775065104477,-7.62964373128489,-66.2774800090863,36,10886.3785320003,TRUE
"SERRA BRANCA",-36.7767866800074,-7.51530955755152,-67.6630373376799,35,12769.1296806884,TRUE
"COXIXOLA",-36.6862077031285,-7.61912056524307,-64.611684382452,38,8986.56354981029,TRUE
"SERRA BRANCA",-36.7151066375896,-7.61714572198689,-67.2529204001546,36,12180.2289212662,TRUE
"SUMÉ",-36.8403120431583,-7.57671181685291,-65.7522261265609,42,10247.5663054572,TRUE
"SERRA BRANCA",-36.8012780454941,-7.53493108027615,-69.5364983587315,38,15842.8878773805,TRUE
"SERRA BRANCA",-36.8061626478098,-7.55097175948322,-68.7037375791874,36,14394.4909060105,TRUE
"SERRA BRANCA",-36.7688904965762,-7.49645022824407,-66.6649286841297,36,11382.9771726156,TRUE
"SERRA BRANCA",-36.6502472233493,-7.5756534234155,-63.2273156826376,41,7662.58340715101,TRUE
"SERRA BRANCA",-36.8186208860017,-7.58777041225694,-65.713522276728,39,10202.0052937639,TRUE
"SERRA BRANCA",-36.8016832713969,-7.58125681988895,-67.0461962984465,39,11893.7620500931,TRUE
