".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"DESTERRO",-37.1328338431272,-7.24848530288972,-62.1072274910312,99,6735.51496302725,TRUE
"AREIA DE BARAÚNAS",-36.9993937487093,-7.1318060135115,-60.1460131444698,40,5374.15376066789,TRUE
"LIVRAMENTO",-36.9351794781474,-7.35476531168633,-53.7156249214445,40,2563.24829274749,TRUE
"SANTA LUZIA",-36.840879107484,-6.90968558726553,-65.2628788734584,18,9686.19871306987,TRUE
"DESTERRO",-37.0714033740883,-7.34386225439329,-61.5888536436808,65,6345.29931231605,TRUE
"TEIXEIRA",-37.2091794150261,-7.24212269541994,-59.7257221573255,120,5120.30154926087,TRUE
"PATOS",-37.287897005685,-6.94676061357558,0,73,245.11193114104,TRUE
"LIVRAMENTO",-36.9537068141004,-7.32550209934079,-60.6086697331245,40,5668.17065542256,TRUE
"LIVRAMENTO",-36.9370478912102,-7.29955373866205,-64.1173034262469,37,8489.35318477078,TRUE
"TAPEROÁ",-36.8331272031724,-7.16673506410979,-58.7552193851374,32,4578.99743202731,TRUE
"SANTA LUZIA",-36.9536572514413,-6.93351871321165,-64.2641154818711,24,8634.0628323155,TRUE
"SÃO MAMEDE",-37.0025344544634,-6.96158926653397,-66.3882484620662,32,11026.0981432867,TRUE
"QUIXABÁ",-37.2189838994605,-7.02011645362899,-60.2409474200553,82,5433.213882744,TRUE
"SALGADINHO",-36.8008173746135,-7.10026733925287,-59.2206911176041,27,4831.07730099895,TRUE
"SALGADINHO",-36.8485681392563,-7.14622743205354,-59.2994846434173,32,4875.1015079524,TRUE
"CACIMBAS",-37.0428543473905,-7.22180470275879,-52.0172647342357,49,2108.01000323988,TRUE
"TAPEROÁ",-36.8627782969348,-7.30828007553891,-66.403434101237,44,11045.3920564453,TRUE
"SALGADINHO",-36.8757068425262,-7.1470431733057,-61.1427553603888,33,6027.63850791462,TRUE
"TAPEROÁ",-36.8973954086037,-7.28525390265231,-66.6041821925484,35,11303.6457977374,TRUE
"JUNCO DO SERIDÓ",-36.8379720590388,-7.04692650620081,-61.3451791522076,25,6169.76167291471,TRUE
"TAPEROÁ",-36.8237914451243,-7.20521618599259,0,31,289.296239630006,TRUE
"TAPEROÁ",-36.9351215745633,-7.21193600828946,-61.8691524061667,34,6553.40564680953,TRUE
"LIVRAMENTO",-36.9611146953035,-7.35611597808265,-54.6399877349561,38,2851.07615217598,TRUE
"SALGADINHO",-36.913648475435,-7.14560132472497,-57.9360779508245,37,4166.90240014461,TRUE
"SÃO JOSÉ DO BONFIM",-37.2921385211017,-7.18753855720815,-56.344286944729,110,3469.15558812865,TRUE
"DESTERRO",-37.0632904856544,-7.32456857232564,-59.0868599995997,69,4757.2111782119,TRUE
"CACIMBA DE AREIA",-37.1704972154772,-7.18803547880333,-62.254321071857,114,6850.5506917238,TRUE
"CACIMBA DE AREIA",-37.1472837424449,-7.134651386749,-45.590851125978,108,1005.89346578561,TRUE
