".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"SUMÉ",-36.9013900305584,-7.55627111683914,-67.4572017218569,49,12470.0879583165,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.829774233184,-7.40658826025517,-54.8115619011878,40,2907.95395645205,TRUE
"LIVRAMENTO",-36.9069561271902,-7.3816189535273,-58.013779462995,38,4204.345558791,TRUE
"SERRA BRANCA",-36.8258818386096,-7.51626692473272,-68.4018554028292,38,13902.7976192009,TRUE
"SUMÉ",-36.8627648225494,-7.53627367534989,-68.5909659224211,37,14208.8106516239,TRUE
"SUMÉ",-36.8524686820779,-7.56336417550536,-66.6432082785705,45,11354.54784482,TRUE
"SERRA BRANCA",-36.8023201664883,-7.53438629916252,-69.5007059192615,38,15777.7375147816,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9589317630019,-7.44181022689061,-62.987499676983,56,7453.91463184967,TRUE
"SUMÉ",-36.9686543921448,-7.56556775130646,-65.9957562770844,41,10538.9475848497,TRUE
"SUMÉ",-36.8983611280072,-7.56847833467962,-66.4310089217489,49,11080.5132345895,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8442404390752,-7.49160386056954,-66.9315743817081,39,11737.8390406098,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9399698756143,-7.40736718814203,-56.4527409256268,50,3512.74380866017,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8569567533649,-7.49489360892528,-67.55782975452,39,12615.3968938904,TRUE
"SUMÉ",-36.9813167306103,-7.4939808632558,-67.2764167129183,50,12213.2224220197,TRUE
"SUMÉ",-36.9791098585326,-7.51715962447541,-66.2848312956667,50,10895.5960983584,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8807505538661,-7.4822764367176,-67.703915491826,37,12829.36630451,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9177295596778,-7.4786218697516,-66.9307877893112,40,11736.7761124265,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8677913201947,-7.46200179055648,-65.7029210905923,43,10189.5612739251,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8733218665208,-7.43700733402127,-64.4050311495913,46,8775.28011002057,TRUE
"SERRA BRANCA",-36.8130186627593,-7.54760351249331,-68.691876515166,36,14374.8478452548,TRUE
"SERRA BRANCA",-36.8664193956621,-7.52646986649686,-69.2201038478004,37,15276.1749368348,TRUE
