".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"SUMÉ",-36.9643806431272,-7.78177020288972,-69.2663172890997,57,15357.6687189886,TRUE
"MONTEIRO",-36.979781348055,-7.92013594354471,-69.4524944803555,42,15690.4050364583,TRUE
"SUMÉ",-36.8309405487093,-7.6650909135115,-58.1290151520223,43,4260.49625909826,TRUE
"MONTEIRO",-37.0281621185427,-7.91337114581807,-65.8057647245553,39,10310.9259273303,TRUE
"CAMALAÚ",-36.7667262781474,-7.88805021168633,-61.3379926894876,27,6164.65909542055,TRUE
"SERRA BRANCA",-36.672425907484,-7.44297048726553,-57.1581670039644,17,3809.93688192938,TRUE
"CAMALAÚ",-36.9029501740883,-7.87714715439329,-64.5899169637601,54,8964.07081815841,TRUE
"MONTEIRO",-37.0407262150261,-7.77540759541994,-65.5395451843748,60,9999.69352902164,TRUE
"CAMALAÚ",-36.7852536141004,-7.85878699934078,-60.0896577949822,27,5339.39831943615,TRUE
"CAMALAÚ",-36.7685946912102,-7.83283863866204,-64.2761347817433,29,8646.01868583745,TRUE
"CONGO",-36.6646740031724,-7.70001996410979,-65.7730245433905,39,10272.1335682856,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.7852040514413,-7.46680361321164,-64.2939719537715,40,8663.79222310978,TRUE
"SERRA BRANCA",-36.8340812544634,-7.49487416653397,-66.9438528264419,41,11754.4434793362,TRUE
"AMPARO",-37.0505306994605,-7.55340135362899,-52.1594485702551,72,2142.80109299391,TRUE
"COXIXOLA",-36.6323641746135,-7.63355223925287,-55.1915890345087,37,3038.007785101,TRUE
"SERRA BRANCA",-36.6801149392563,-7.67951233205354,-65.5394439965558,39,9999.57703648868,TRUE
"SUMÉ",-36.8744011473905,-7.75508960275879,-65.0128070274435,36,9411.30356749401,TRUE
"CAMALAÚ",-36.6943250969348,-7.84156497553891,-61.170009940881,38,6046.58173371913,TRUE
"SERRA BRANCA",-36.7072536425262,-7.68032807330569,-67.5650821027691,37,12625.9346121522,TRUE
"CAMALAÚ",-36.7289422086037,-7.8185388026523,-63.4950173297536,29,7902.42344336776,TRUE
"SERRA BRANCA",-36.6695188590388,-7.58021140620081,-64.4992290119779,41,8870.96531765166,TRUE
"CONGO",-36.6553382451243,-7.73850108599259,-62.0597759022752,39,6698.81872817841,TRUE
"SUMÉ",-36.7666683745633,-7.74522090828946,-67.9333147178187,26,13172.7110845998,TRUE
"CAMALAÚ",-36.7926614953035,-7.88940087808265,-55.9170184973944,27,3302.6333004848,TRUE
"SERRA BRANCA",-36.745195275435,-7.67888622472497,-68.3407475149713,37,13805.3304471861,TRUE
"PRATA",-37.1236853211017,-7.72082345720815,-59.7997042938264,66,5164.10002199643,TRUE
"CAMALAÚ",-36.9068073536332,-7.91228781102659,-65.2035731212661,54,9620.28829205578,TRUE
"CAMALAÚ",-36.8948372856544,-7.85785347232564,-64.330150919609,54,8699.95440764699,TRUE
"SUMÉ",-37.0020440154772,-7.72132037880333,-65.0031852120822,60,9400.88394533538,TRUE
"SUMÉ",-36.9788305424449,-7.667936286749,-66.1711136335076,63,10753.8781777435,TRUE
"MONTEIRO",-37.0363394237652,-7.75655542078862,-64.1306777906938,60,8502.43499517209,TRUE
"SUMÉ",-36.959999297193,-7.71450529734107,-65.5022623149424,57,9956.86334162728,TRUE
"CAMALAÚ",-36.8474233825987,-7.81918858280374,-63.8620433534085,33,8243.49916686918,TRUE
"SERRA BRANCA",-36.8191777043107,-7.51406099807905,-68.1939890183709,38,13574.0324047395,TRUE
"SUMÉ",-36.8472087951673,-7.59937910640115,-63.1894026637976,42,7629.20990417138,TRUE
"SUMÉ",-36.8853200921153,-7.78195844646512,-67.3793633170907,51,12358.8367773661,TRUE
"CAMALAÚ",-36.7192741812037,-7.86861709642658,-65.6310308300156,41,10105.5736646509,TRUE
"SUMÉ",-36.8581321236274,-7.79239372278066,-66.7019898724358,33,11431.6501325031,TRUE
"MONTEIRO",-37.0600158516613,-7.89146562558567,-61.8371423388592,39,6529.29886009483,TRUE
"CONGO",-36.632511990058,-7.79666717126934,-55.219941878516,37,3047.94078012389,TRUE
"SUMÉ",-36.8696011782454,-7.81288948559636,-65.4804583250941,54,9931.90020090575,TRUE
"SUMÉ",-36.9985179332148,-7.67355821884671,-65.2389594458176,60,9659.56130264331,TRUE
"COXIXOLA",-36.6468467854725,-7.59367208657755,-61.0815048255261,39,5985.28275426297,TRUE
"CONGO",-36.6854994694299,-7.75588219738534,-60.3826491683944,29,5522.57838961963,TRUE
"SERRA BRANCA",-36.8234783218072,-7.48845118700961,-66.2255768877157,38,10821.5202159426,TRUE
"SERRA BRANCA",-36.7483086691068,-7.60150014839569,-69.1273081388556,33,15113.8406031136,TRUE
"CAMALAÚ",-36.7024863193806,-7.91350480224906,-68.152610841262,18,13509.5216853318,TRUE
"SUMÉ",-36.9192044573433,-7.65581269443469,-58.5429325271563,36,4468.44129899256,TRUE
"COXIXOLA",-36.6686063519742,-7.66896713825377,-63.9180501603923,39,8296.82516924284,TRUE
"AMPARO",-36.9916682174958,-7.62151471720977,-65.540116963906,42,10000.3518160263,TRUE
"CONGO",-36.6784291661174,-7.70759756453304,-65.7946499484275,39,10297.7401347482,TRUE
"MONTEIRO",-37.0408705841114,-7.7642927756297,-64.5514050022916,60,8924.41342461725,TRUE
"SUMÉ",-36.7686203657945,-7.80943148755437,-66.1038071503187,26,10670.8689967621,TRUE
"SUMÉ",-36.8712546647589,-7.69868198547015,-56.0000653835942,33,3334.36163154655,TRUE
"CONGO",-36.6792888578789,-7.71413305434367,-65.1948473872965,39,9610.62872586447,TRUE
"MONTEIRO",-37.0335191885538,-7.83906564160684,-65.3738753798062,60,9810.77237887914,TRUE
"SERRA BRANCA",-36.7353677052602,-7.62190340526836,-68.6887017568427,36,14369.5946897939,TRUE
"CAMALAÚ",-36.9066218792291,-7.85302761613825,-65.6301432528649,54,10104.5410682916,TRUE
"SERRA BRANCA",-36.8197376333705,-7.54421342837127,-68.714689369581,36,14412.6519558172,TRUE
"MONTEIRO",-37.0710606080543,-7.83335329671359,-61.5693277396464,63,6331.0510828657,TRUE
"OURO VELHO",-37.0871927909616,-7.63047853226276,-62.5958730503884,81,7125.29883270603,TRUE
"SERRA BRANCA",-36.814524336864,-7.54473909384074,-68.8210570849545,36,14590.2349319645,TRUE
"MONTEIRO",-37.073849347566,-7.82899632605227,-61.6319386101055,63,6376.85234695215,TRUE
"MONTEIRO",-37.0592979269863,-7.89172484676788,-61.9442431110648,39,6610.30633844158,TRUE
"PRATA",-37.0404352707851,-7.67115125441892,-60.2523143180839,60,5440.32878047887,TRUE
"MONTEIRO",-36.9778297562448,-7.82431159201047,-69.7094143903346,57,16161.4435726741,TRUE
"SUMÉ",-36.9838655044155,-7.61052752959045,-65.6004562715768,39,10070.0643149347,TRUE
"SUMÉ",-36.894636246056,-7.57737146129334,-65.5584526645095,49,10021.4846117007,TRUE
"SUMÉ",-36.8886855545284,-7.70762090173053,-58.0205608413402,33,4207.62932037244,TRUE
"SUMÉ",-36.9473398966079,-7.7072942419673,-63.9721357751741,57,8348.6493260084,TRUE
"CAMALAÚ",-36.7507581570248,-7.81813918587254,-65.735576920251,26,10227.9424741745,TRUE
"COXIXOLA",-36.6493666945321,-7.65253061263325,-60.4132092183282,36,5542.04300681224,TRUE
"SUMÉ",-36.9354453790297,-7.7851581008636,-68.4840227267879,51,14034.9402166909,TRUE
"SUMÉ",-36.8838420863326,-7.75422284260826,-64.8980334174217,39,9287.76250379274,TRUE
"SUMÉ",-36.8238170310219,-7.73838932961194,-65.1392755103074,32,9549.33669626813,TRUE
"SUMÉ",-36.8616463537623,-7.81024518571762,-65.333520569933,48,9765.2970636085,TRUE
"MONTEIRO",-37.0991435528563,-7.89496220552797,-52.6600894076519,54,2269.93750790856,TRUE
"SERRA BRANCA",-36.7151525484228,-7.67224573201934,-67.8527032798544,37,13051.0241921479,TRUE
"SERRA BRANCA",-36.7756423483665,-7.66632986962764,-65.849123778647,34,10362.525676019,TRUE
"SUMÉ",-36.7862545714311,-7.8024324051567,-65.9060464874429,26,10430.6591787256,TRUE
"SUMÉ",-36.8455791289748,-7.71084335711753,-60.6732365046223,35,5710.4621322169,TRUE
"SUMÉ",-36.9365791520399,-7.82469521646822,-68.7482466645361,51,14468.441875977,TRUE
"SERRA BRANCA",-36.7615064062706,-7.59594530446889,-68.5613805964664,33,14160.4958328222,TRUE
"SUMÉ",-36.9011976608604,-7.51375474766797,-69.6094818002946,43,15976.5690493003,TRUE
"SUMÉ",-36.831890186208,-7.8076443427472,-64.7306378860431,24,9110.48138345148,TRUE
"SUMÉ",-36.8280565541067,-7.73765990380166,-64.8537256585134,32,9240.50515477984,TRUE
"SUMÉ",-36.9740992706797,-7.53809129677216,-65.9188161016763,44,10446.0051543888,TRUE
"CAMALAÚ",-36.8033765595469,-7.91320547738547,-56.0981471648208,27,3372.2269042689,TRUE
"PRATA",-37.074374394288,-7.68221334528612,-50.5039770479488,69,1770.95808773427,TRUE
"SERRA BRANCA",-36.6400248805589,-7.51510204698393,-57.7814637754809,20,4093.38524227864,TRUE
"SUMÉ",-36.8092575761552,-7.8007381092521,-65.4757063534869,26,9926.468034277,TRUE
"SUMÉ",-36.9425157351948,-7.53768354989557,-68.3463136869502,41,13814.1801417514,TRUE
"MONTEIRO",-36.9804358020488,-7.82388119350622,-69.5677128315147,57,15899.9248729898,TRUE
"SERRA BRANCA",-36.8052976046752,-7.6268915704914,-63.8711546685513,39,8252.15096071413,TRUE
"MONTEIRO",-37.0580895558528,-7.80885806758856,-64.774718838415,63,9156.83466411234,TRUE
"OURO VELHO",-37.1014359776459,-7.52779593863493,-61.0973521662586,81,5996.21282580337,TRUE
"SUMÉ",-36.9401285203935,-7.58181013187828,-66.9302616305042,41,11736.0651638263,TRUE
"SERRA BRANCA",-36.7546062914484,-7.71587097130219,-68.3813490787173,37,13870.013527641,TRUE
"SUMÉ",-36.8670520775781,-7.71596799090007,-60.0168302888849,33,5294.81688518933,TRUE
"SUMÉ",-36.7966402395691,-7.81712751856508,-64.1292560848695,29,8501.04343107988,TRUE
"SUMÉ",-36.9430680896917,-7.78840315374514,-68.9036768516009,57,14729.6786883403,TRUE
"SERRA BRANCA",-36.7516748793719,-7.57471067153351,-68.5562728723393,33,14152.1712227661,TRUE
"SUMÉ",-36.975295416109,-7.55019353339417,-65.5257951209411,41,9983.87619162972,TRUE
"PRATA",-37.0486072146164,-7.63877443303323,-62.8672570690791,69,7351.43775120023,TRUE
"CAMALAÚ",-36.8869640186026,-7.84885802979084,-64.0258182699641,54,8400.40731057004,TRUE
"SERRA BRANCA",-36.7290469263976,-7.56724185715398,-67.0211358815021,36,11859.4957770452,TRUE
"MONTEIRO",-37.1233906463317,-7.87541746275934,-47.1073287884099,63,1197.77672621617,TRUE
"CONGO",-36.6514571106823,-7.70151395371618,-65.1388914191481,39,9548.91443270502,TRUE
"SUMÉ",-36.904729455739,-7.5093572846145,-69.2887345516772,49,15397.3562533931,TRUE
"SERRA BRANCA",-36.657225038653,-7.58559792498095,-62.967461567197,41,7436.73847478139,TRUE
"SUMÉ",-36.989214200556,-7.76901175940843,-67.9354289054367,60,13175.9177765413,TRUE
"PRATA",-37.0898475690342,-7.69609622620015,0,69,575.734690671087,TRUE
"SUMÉ",-36.9345626037398,-7.6584011350988,-61.1201495926297,39,6011.97146144071,TRUE
"CONGO",-36.7046895129902,-7.79778947632263,-59.386938482845,29,4924.43438196254,TRUE
"CAMALAÚ",-36.877863935108,-7.82142656596812,-65.2622550882329,54,9685.5031146977,TRUE
"MONTEIRO",-37.0209443716162,-7.77573969771588,-66.539343263555,60,11219.5798523948,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9862091001419,-7.42521999832211,-62.5973828559,56,7126.53747962979,TRUE
"CONGO",-36.6301529931666,-7.83512761825664,-59.8437358627301,20,5190.34497218939,TRUE
"SERRA BRANCA",-36.7686475004598,-7.69451252706317,-66.8282218678065,34,11598.9993501634,TRUE
