".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"CAJAZEIRAS",-38.6465362431272,-7.00108220288972,-64.6905383377025,42,9068.51858954956,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.661936948055,-7.13944794354471,-66.963453966606,47,11780.9992689894,TRUE
"CAJAZEIRAS",-38.5130961487093,-6.8844029135115,-58.1379668031216,49,4264.88937679401,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4488818781474,-7.10736221168633,-60.7254333068038,42,5744.88177980681,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.354581507484,-6.66228248726553,-67.7011868566386,54,12825.3366467815,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5851057740883,-7.09645915439329,-65.3115296027895,48,9740.60452032411,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.7228818150261,-6.99471959541994,-64.9103971836705,48,9300.99240834839,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4674092141004,-7.07809899934079,-60.7651905111732,48,5771.23762430918,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4507502912102,-7.05215063866205,-64.7886046925879,48,9171.4851105276,TRUE
"NAZAREZINHO",-38.3468296031724,-6.91933196410979,-55.3279941266355,70,3086.09390652846,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4673596514413,-6.68611561321165,-58.1535077282643,77,4272.527012036,TRUE
"SANTA HELENA",-38.5162368544634,-6.71418616653397,-61.9394263161221,51,6606.64158279037,TRUE
"SOUSA",-38.3145197746135,-6.85286423925287,-58.3801575460986,63,4385.48174966676,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3622705392563,-6.89882433205354,-58.8382801143211,68,4622.99513519708,TRUE
"CAJAZEIRAS",-38.5565567473905,-6.97440160275879,-64.3242780119735,51,8694.07397844027,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.3764806969348,-7.06087697553891,-58.0425753290354,50,4218.30713132616,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3894092425262,-6.89964007330569,-62.7414701528774,68,7245.74320720493,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4110978086037,-7.03785080265231,-62.6329139056311,49,7155.74945219424,TRUE
"MARIZÓPOLIS",-38.3516744590388,-6.79952340620081,-59.5243294037011,65,5002.94698616358,TRUE
"NAZAREZINHO",-38.3374938451243,-6.95781308599259,-60.8260802394758,73,5811.83723021479,TRUE
"CAJAZEIRAS",-38.4488239745633,-6.96453290828946,-68.2188135220954,49,13612.8828419153,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4748170953035,-7.10871287808265,-54.9846108540443,42,2966.47008709951,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.427350875435,-6.89819822472497,-65.6018567639396,72,10071.6881192641,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5889629536332,-7.13159981102659,-64.7365666986162,50,9116.70213660025,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5769928856544,-7.07716547232564,-65.3160123474299,48,9745.63289554176,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.6841996154772,-6.94063237880333,-51.4263043704711,40,1969.35789861391,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.6609861424449,-6.887248286749,-58.4956388917525,37,4444.17728517172,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.7184950237652,-6.97586742078862,-62.8474190040982,44,7334.66665583541,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.642154897193,-6.93381729734107,-57.3505231472046,37,3895.25225870756,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5295789825987,-7.03850058280374,-65.1228566784209,49,9531.30275091884,TRUE
"SANTA HELENA",-38.5013333043107,-6.73337299807905,-59.5249380310458,67,5003.29755900638,TRUE
"CAJAZEIRAS",-38.5293643951673,-6.81869110640115,-63.5650943495533,45,7966.43740683932,TRUE
"CAJAZEIRAS",-38.5674756921153,-7.00127044646512,-66.847624449559,46,11624.9382106915,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4014297812037,-7.08792909642658,-63.8770518647616,49,8257.7555768549,TRUE
"CAJAZEIRAS",-38.5402877236275,-7.01170572278067,-67.6304959746298,46,12721.3801122597,TRUE
"NAZAREZINHO",-38.314667590058,-7.01597917126934,-58.0660236295006,59,4229.7101963307,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5517567782454,-7.03220148559636,-66.5457385971184,43,11227.843758634,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.6806735332148,-6.89287021884671,-56.4967800763056,32,3530.59933056011,TRUE
"MARIZÓPOLIS",-38.3290023854725,-6.81298408657755,-58.4559492845624,63,4423.91623244798,TRUE
"NAZAREZINHO",-38.3676550694299,-6.97519419738534,-62.7814342422544,73,7279.15794351512,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.5056339218072,-6.70776318700961,-60.5460357129325,51,5627.4444461257,TRUE
"CAJAZEIRAS",-38.4304642691068,-6.82081214839569,-64.5358462633228,65,8908.44173513743,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.3846419193806,-7.13281680224906,-64.8620424422183,25,9249.35722294948,TRUE
"CAJAZEIRAS",-38.6013600573433,-6.87512469443469,-58.0980735211874,47,4245.34614964473,TRUE
"NAZAREZINHO",-38.3507619519742,-6.88827913825377,-57.3503790839165,62,3895.18765298284,TRUE
"NAZAREZINHO",-38.3605847661174,-6.92690956453304,-59.1982577313642,70,4818.6159881491,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.7230261841114,-6.98360477562971,-63.9370383590241,46,8314.98267495051,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4507759657945,-7.02874348755437,-66.6531839111682,45,11367.5958883852,TRUE
"CAJAZEIRAS",-38.5534102647589,-6.91799398547015,-53.7206027212072,50,2564.71768668411,TRUE
"NAZAREZINHO",-38.3614444578789,-6.93344505434367,-59.9538140484864,70,5256.5419315009,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4175233052602,-6.84121540526836,-62.5461784924883,61,7084.64927393083,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5887774792291,-7.07233961613826,-66.4816998586901,50,11145.3682815472,TRUE
"SANTA HELENA",-38.5018932333705,-6.76352542837127,-61.9863829228923,65,6642.45432606672,TRUE
"SANTA HELENA",-38.496679936864,-6.76405109384074,-61.4638258339072,71,6254.61702137123,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.7225908707851,-6.89046325441892,-61.611566737443,34,6361.91361241534,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6599853562448,-7.04362359201047,-68.0028093051116,44,13278.5268463766,TRUE
"BOM JESUS",-38.6660211044155,-6.82983952959045,-52.655281252462,38,2268.6813105598,TRUE
"BOM JESUS",-38.576791846056,-6.79668346129335,-64.2491530348423,43,8619.20246596155,TRUE
"CAJAZEIRAS",-38.5708411545284,-6.92693290173053,-56.3455640837284,50,3469.66571660435,TRUE
"CAJAZEIRAS",-38.6294954966079,-6.9266062419673,-59.7929702372883,43,5160.0979144387,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4329137570248,-7.03745118587255,-65.1544148643547,47,9565.99553728556,TRUE
"MARIZÓPOLIS",-38.3315222945321,-6.87184261263325,-57.2458870621626,63,3848.60893527617,TRUE
"CAJAZEIRAS",-38.6176009790297,-7.0044701008636,-66.3305957902398,40,10953.1546654301,TRUE
"CAJAZEIRAS",-38.5659976863326,-6.97353484260826,-64.1838496677703,50,8554.64346688667,TRUE
"CAJAZEIRAS",-38.5059726310219,-6.95770132961194,-64.136186323185,48,8507.82889217466,TRUE
"CAJAZEIRAS",-38.5438019537623,-7.02955718571763,-66.4178894976076,46,11063.7895334375,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3973081484228,-6.89155773201934,-62.5421917853035,70,7081.39826080213,TRUE
"CAJAZEIRAS",-38.4577979483665,-6.88564186962764,-65.7713760642601,69,10270.184223804,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4684101714311,-7.0217444051567,-66.6167556822213,42,11320.0205386806,TRUE
"CAJAZEIRAS",-38.5277347289748,-6.93015535711753,-58.8628566903304,47,4636.09434403049,TRUE
"CAJAZEIRAS",-38.6187347520399,-7.04400721646822,-68.8572104983948,42,14651.0906560929,TRUE
"CAJAZEIRAS",-38.4436620062706,-6.81525730446889,-65.0236161910397,65,9423.0227636125,TRUE
"SANTA HELENA",-38.5833532608604,-6.73306674766797,-61.6786722904966,43,6411.2549183013,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5140457862081,-7.0269563427472,-65.8265643922346,45,10335.6465753843,TRUE
"CAJAZEIRAS",-38.5102121541067,-6.95697190380166,-63.7926741491049,49,8177.92527979003,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4855321595469,-7.13251747738547,-51.7742247334988,40,2049.84332193045,TRUE
"SOUSA",-38.3221804805589,-6.73441404698393,-64.8908594606185,53,9280.0946077669,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4914131761552,-7.0200501092521,-66.3755815108013,44,11010.0300993282,TRUE
"SANTA HELENA",-38.6246713351948,-6.75699554989557,-58.1339819755078,39,4262.93322124783,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6625914020488,-7.04319319350622,-67.9481351112747,44,13195.2063517801,TRUE
"CAJAZEIRAS",-38.4874532046752,-6.8462035704914,-64.4050454978155,63,8775.29460592091,TRUE
"BOM JESUS",-38.6222841203935,-6.80112213187828,-56.8249028770406,39,3666.52435844693,TRUE
"CAJAZEIRAS",-38.4367618914484,-6.93518297130219,-67.887331234599,70,13103.158440382,TRUE
"CAJAZEIRAS",-38.5492076775781,-6.93527999090008,-58.5324621158869,50,4463.05805881217,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4787958395691,-7.03643951856508,-65.0414873169768,42,9442.43049189964,TRUE
"CAJAZEIRAS",-38.6252236896917,-7.00771515374514,-66.1924513494325,40,10780.3285803239,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4338304793719,-6.79402267153352,-62.7411120319067,63,7245.44446991872,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5691196186026,-7.06817002979084,-65.1349481603847,46,9544.58035798712,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4112025263976,-6.78655385715398,-63.0178713270298,67,7480.02409891147,TRUE
"NAZAREZINHO",-38.3336127106823,-6.92082595371618,-51.451093306174,70,1974.98633930411,TRUE
"SANTA HELENA",-38.586885055739,-6.7286692846145,-61.0253288475725,47,5946.69785558354,TRUE
"MARIZÓPOLIS",-38.339380638653,-6.80490992498095,-58.9201648463677,63,4666.7837077693,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.671369800556,-6.98832375940844,-62.5170597645388,45,7060.93833879491,TRUE
"CAJAZEIRAS",-38.6167182037398,-6.87771313509881,-60.9431808965638,47,5890.7212935618,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.3868451129902,-7.01710147632263,-59.5384277700748,48,5011.07403544252,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.560019535108,-7.04073856596812,-66.336860279471,46,10961.0572145127,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.7030999716162,-6.99505169771588,-63.9506229656664,48,8327.99736316956,TRUE
"AGUIAR",-38.3123085931666,-7.05443961825664,-58.0078608636014,27,4201.48167701673,TRUE
"CAJAZEIRAS",-38.4508031004598,-6.91382452706317,-66.5201850535875,67,11194.8604283057,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5400034597633,-7.12691924907709,-58.3779399664154,49,4384.36224270968,TRUE
"SANTA HELENA",-38.5528266696283,-6.71149858262367,-65.3006361851491,51,9728.39598817488,TRUE
"TRIUNFO",-38.5806683123601,-6.66229648096929,-64.9122884492597,45,9303.01782691269,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3824655307481,-6.87742347456957,-59.2024360838243,65,4820.93454390918,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6111345849722,-7.06914258050243,-68.1604013007081,47,13521.6439430546,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4002728923015,-6.89862226020056,-63.4716719788719,70,7881.21235794607,TRUE
"CAJAZEIRAS",-38.5550066667865,-7.00388952484797,-67.0920846411325,44,11956.7641500215,TRUE
"SANTA HELENA",-38.5682041328191,-6.75235912239156,-64.2830639947713,43,8652.91884356083,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3977445389401,-6.64303895552154,-66.4092989953609,52,11052.8526543822,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4627142946492,-6.80225859280187,-63.7316539637198,69,8120.67498300636,TRUE
"CAJAZEIRAS",-38.4562915602955,-6.86044024944282,-66.4133103621282,70,11057.9583242949,TRUE
"CAJAZEIRAS",-38.4961182531924,-6.91426617850526,-61.6142615590987,46,6363.88772020223,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4872269185516,-6.79566436878382,-64.0307431707783,69,8405.17169343421,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.3976237007673,-7.02835568518355,-60.7421682196835,49,5755.96098701697,TRUE
"CAJAZEIRAS",-38.4560561041371,-6.87525138294301,-66.0736520516105,69,10633.8868109512,TRUE
"CAJAZEIRAS",-38.500045613132,-6.84456616896647,-63.4349595569639,51,7847.97134334099,TRUE
"CAJAZEIRAS",-38.5562701700046,-6.97415211063786,-64.3001067108665,51,8669.91353447734,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.7265416703676,-6.9876102836614,-64.5309944322777,46,8903.46697877832,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3832184900321,-6.85860241007037,-56.7116420711878,62,3619.02459228858,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3637721446366,-6.75745672313939,-65.2932493085353,64,9720.12603369559,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3935837638355,-6.75685097405664,-62.1389405806048,67,6760.1519799021,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3737996960781,-6.80235335662006,-59.8634859867767,64,5202.16029498878,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4056736808061,-7.06827583432174,-62.9107698951096,52,7388.35790847077,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4348080282589,-7.04742055782559,-65.3969796150997,47,9836.903510979,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3725274130493,-6.81170811935305,-58.0460070076777,62,4219.97405723488,TRUE
"CAJAZEIRAS",-38.6220607218356,-6.85637864645547,-60.7668546006017,41,5772.34341496026,TRUE
"CAJAZEIRAS",-38.5806396550988,-6.9026185522133,-51.1799190459432,50,1914.27965205684,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.7129739963939,-6.9914225364381,-64.047528674238,46,8421.43041371235,TRUE
"CAJAZEIRAS",-38.5797886911105,-6.82780331559922,-61.4964988524806,45,6278.1888218611,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4369962736755,-7.00352554233256,-66.1256847276334,42,10697.7801161411,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4738903584448,-7.11693475081562,-54.6088380068735,42,2840.86980681327,TRUE
"SOUSA",-38.3169281986566,-6.64563749218802,-67.3952540323027,53,12381.4677939303,TRUE
"CAJAZEIRAS",-38.5869364948967,-7.04665238538734,-67.5213453294671,40,12562.5180042917,TRUE
"CAJAZEIRAS",-38.6136246509641,-7.00311763061187,-66.4476089097335,42,11101.7099422081,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6363997695526,-7.09112341795559,-68.8826418477466,45,14694.0503315089,TRUE
"SANTA HELENA",-38.5011773453816,-6.75299867743603,-60.9012838530325,69,5862.37537457728,TRUE
"BOM JESUS",-38.5911843603035,-6.79284208466276,-62.6930614913414,43,7205.47316805651,TRUE
"CAJAZEIRAS",-38.511157882961,-6.82068855339172,-64.5489899949391,47,8921.93244350859,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6594481501752,-7.04133861011802,-67.8430750371792,44,13036.5652462788,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4940716115316,-7.10669234756357,-49.1512008005758,44,1515.54721471557,TRUE
"CAJAZEIRAS",-38.5910521901469,-6.96034537454112,-63.2414346124688,50,7675.04907953446,TRUE
"TRIUNFO",-38.5672472400847,-6.69701613102085,-64.1468793573256,51,8518.30916881651,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5552415285283,-7.0870574154004,-62.5826756463398,46,7114.48082226919,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6565665023891,-7.06370381208113,-68.5035120160065,42,14066.4669943515,TRUE
"CAJAZEIRAS",-38.4481377023994,-6.94004346360895,-67.3736489514011,50,12350.7086880394,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4070905942726,-6.72673352249409,-58.8069159859476,71,4606.33193220481,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.3856455217838,-6.99564319360512,-61.5892458459238,52,6345.58583412474,TRUE
"CAJAZEIRAS",-38.5464168293192,-6.99295126833464,-66.2468544828426,43,10848.0619050256,TRUE
"CAJAZEIRAS",-38.635738013757,-6.99857517925999,-64.930189041202,40,9322.21001673723,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4807352886792,-6.7916782978035,-63.2369595567618,69,7671.09583727993,TRUE
"NAZAREZINHO",-38.3126139716269,-6.95860830590106,-60.664607231484,69,5704.79170930435,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4089457300515,-7.03768396168458,-62.3392875518262,49,6917.89248812305,TRUE
"SOUSA",-38.3328399726679,-6.68587288051355,-68.2782106924317,52,13706.2915426095,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4533469817625,-6.64281018393091,-64.5483763950732,70,8921.30219106291,TRUE
"TRIUNFO",-38.5266282618768,-6.67911294999509,-64.725911510556,49,9105.52531740613,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3823445432145,-6.85130866629048,-55.8182263899466,62,3265.2824206206,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.3925944168377,-7.002943315082,-61.6366359409348,48,6380.30188262974,TRUE
