".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"AGUIAR",-38.1907672431272,-7.05043010288972,-60.0008616724023,29,5285.09154560942,TRUE
"ITAPORANGA",-38.206167948055,-7.18879584354471,-60.6888485683855,25,5720.73537674279,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.0573271487093,-6.9337508135115,-67.1741838136387,40,12070.3154816465,TRUE
"ITAPORANGA",-38.2545487185427,-7.18203104581807,-64.79934868865,31,9182.8367823317,TRUE
"COREMAS",-37.9931128781474,-7.15671011168633,-64.3877152018414,16,8757.80338226179,TRUE
"POMBAL",-37.898812507484,-6.71163038726553,-67.5943708031827,24,12668.5809510618,TRUE
"IGARACY",-38.1293367740883,-7.14580705439329,-59.4499997437315,26,4960.31683980608,TRUE
"AGUIAR",-38.2671128150261,-7.04406749541994,-64.4126985912719,33,8783.02988089801,TRUE
"SOUSA",-38.345830405685,-6.74870541357558,-66.088403278588,70,10651.9616610722,TRUE
"COREMAS",-38.0116402141004,-7.12744689934079,-67.3481579071362,21,12314.515396743,TRUE
"COREMAS",-37.9949812912102,-7.10149853866205,-65.9769241332329,20,10516.1225220034,TRUE
"CAJAZEIRINHAS",-37.8910606031724,-6.96867986410979,-63.8597391338548,22,8241.31259606508,TRUE
"POMBAL",-38.0115906514413,-6.73546351321164,-65.192790840169,42,9608.35349879218,TRUE
"APARECIDA",-38.0604678544634,-6.76353406653397,-56.4098839243057,42,3495.4542874805,TRUE
"SOUSA",-38.2769172994605,-6.82206125362899,-59.8886349552549,43,5217.2443627791,TRUE
"CAJAZEIRINHAS",-37.8587507746135,-6.90221213925287,-64.7921818264692,22,9175.26300640859,TRUE
"POMBAL",-37.9065015392563,-6.94817223205354,-64.6766993141684,26,9054.08143655451,TRUE
"AGUIAR",-38.1007877473905,-7.02374950275879,-66.2229694204442,19,10818.2721289745,TRUE
"PIANCÓ",-37.9207116969348,-7.11022487553891,-65.3267784297641,12,9757.72000952985,TRUE
"POMBAL",-37.9336402425262,-6.94898797330569,-63.6173967477803,26,8014.55231491217,TRUE
"COREMAS",-37.9553288086037,-7.08719870265231,-62.9792769443632,18,7446.86152076456,TRUE
