".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"CUBATI",-36.2832941431272,-6.81505310288972,-61.1538202458966,37,6035.32196142308,TRUE
"OLIVEDOS",-36.298694848055,-6.95341884354471,-63.518777051991,29,7924.06963395402,TRUE
"SOSSÊGO",-36.1498540487093,-6.6983738135115,-66.2650842407191,45,10870.8534923124,TRUE
"SERIDÓ",-36.3470756185427,-6.94665404581807,-61.2396979930107,29,6095.28939895733,TRUE
"ALGODÃO DE JANDAÍRA",-36.0856397781474,-6.92133311168633,-63.9746488318511,57,8351.06515964482,TRUE
"OLIVEDOS",-36.2218636740883,-6.91043005439329,-65.0470262672672,49,9448.45380498997,TRUE
"PEDRA LAVRADA",-36.3596397150261,-6.80869049541994,-61.5926497628039,29,6348.07309571506,TRUE
"PICUÍ",-36.438357305685,-6.51332841357558,-65.019244021245,57,9418.2807406439,TRUE
"BARRA DE SANTA ROSA",-36.1041671141004,-6.89206989934079,-65.708743516519,39,10196.3939482237,TRUE
"BARRA DE SANTA ROSA",-36.0875081912102,-6.86612153866205,-64.8259176592993,35,9210.96885177603,TRUE
"BARRA DE SANTA ROSA",-35.9835875031724,-6.73330286410979,-63.521614861602,32,7926.65896857851,TRUE
"CUITÉ",-36.1041175514413,-6.50008651321165,-59.5380098634159,60,5010.83294202354,TRUE
"CUITÉ",-36.1529947544634,-6.52815706653397,-58.7782819157125,59,4591.17161271221,TRUE
"PICUÍ",-36.3694441994605,-6.58668425362899,-64.443976160258,52,8814.71426123069,TRUE
"DAMIÃO",-35.9512776746135,-6.66683513925287,-61.5514283196253,39,6318.01782280091,TRUE
"BARRA DE SANTA ROSA",-35.9990284392563,-6.71279523205354,-61.4120156988197,37,6217.42013992447,TRUE
"BARRA DE SANTA ROSA",-36.1933146473905,-6.78837250275879,-62.4941498554987,29,7042.33894219767,TRUE
"ALGODÃO DE JANDAÍRA",-36.0132385969348,-6.87484787553891,-55.2204594835684,60,3048.12241684973,TRUE
"BARRA DE SANTA ROSA",-36.0261671425262,-6.71361097330569,-55.8377441425522,49,3272.62797007998,TRUE
"BARRA DE SANTA ROSA",-36.0478557086037,-6.85182170265231,-62.22050721204,51,6823.93358457108,TRUE
"BARRA DE SANTA ROSA",-35.9884323590388,-6.61349430620081,-64.8482486793096,56,9234.68029357672,TRUE
"BARRA DE SANTA ROSA",-35.9742517451243,-6.77178398599259,-65.8929655363157,36,10414.9624270244,TRUE
"BARRA DE SANTA ROSA",-36.0855818745633,-6.77850380828946,-62.5616911871765,23,7097.3135149881,TRUE
"BARRA DE SANTA ROSA",-36.1115749953035,-6.92268377808265,-66.5070544137241,49,11177.9497105231,TRUE
"BARRA DE SANTA ROSA",-36.064108775435,-6.71216912472497,-49.3351017682675,41,1547.97705532601,TRUE
"PEDRA LAVRADA",-36.4425988211017,-6.75410635720815,-52.3805400603846,32,2198.04426286528,TRUE
"OLIVEDOS",-36.2257208536332,-6.94557071102659,-60.4599394672324,38,5571.93965211239,TRUE
"BARRA DE SANTA ROSA",-36.2137507856544,-6.89113637232564,-66.9256024331087,47,11729.7715101507,TRUE
"PEDRA LAVRADA",-36.3209575154772,-6.75460327880333,-63.123407483012,32,7571.46300818739,TRUE
"PEDRA LAVRADA",-36.2977440424449,-6.701219186749,-63.6143376557589,53,8011.73015884156,TRUE
"PEDRA LAVRADA",-36.3552529237652,-6.78983832078862,-63.9871077868235,20,8363.05244083076,TRUE
"PEDRA LAVRADA",-36.278912797193,-6.74778819734107,-56.7085688863687,32,3617.74435910721,TRUE
"BARRA DE SANTA ROSA",-36.1663368825987,-6.85247148280374,-68.0710904561759,34,13383.3228134533,TRUE
"CUITÉ",-36.1380912043107,-6.54734389807905,-62.4319506615405,59,6992.08925978399,TRUE
"CUITÉ",-36.1661222951673,-6.63266200640115,-65.3976422860184,56,9837.65402460833,TRUE
"BARRA DE SANTA ROSA",-36.2042335921153,-6.81524134646512,-63.0538342986054,29,7511.0585197015,TRUE
"ALGODÃO DE JANDAÍRA",-36.0381876812037,-6.90189999642658,-54.6083408037809,67,2840.70719263256,TRUE
"BARRA DE SANTA ROSA",-36.1770456236274,-6.82567662278067,-66.0184026118228,25,10566.4611672547,TRUE
"SERIDÓ",-36.3789293516613,-6.92474852558567,-54.2023431394786,30,2710.9817107558,TRUE
"BARRA DE SANTA ROSA",-35.951425490058,-6.82995007126934,-65.9437330289589,66,10476.0142899708,TRUE
"BARRA DE SANTA ROSA",-36.1885146782454,-6.84617238559636,-66.5171296622885,34,11190.9231616269,TRUE
"PEDRA LAVRADA",-36.3174314332148,-6.70684111884671,-65.3820070620686,35,9819.96147091452,TRUE
"DAMIÃO",-35.9657602854725,-6.62695498657755,-61.848171846174,47,6537.5951538395,TRUE
"BARRA DE SANTA ROSA",-36.0044129694299,-6.78916509738534,-64.8427959592521,36,9228.88487980557,TRUE
"CUITÉ",-36.1423918218072,-6.52173408700961,-57.9098441711679,57,4154.33619317678,TRUE
"CUITÉ",-36.0672221691068,-6.63478304839569,-65.3515607658612,44,9785.6002165044,TRUE
"ALGODÃO DE JANDAÍRA",-36.0213998193806,-6.94678770224906,-59.5307665898672,68,5006.65608667973,TRUE
"SOSSÊGO",-36.2381179573433,-6.68909559443469,-60.1834021169936,57,5397.33701347857,TRUE
"PICUÍ",-36.4038127446267,-6.53649648032493,-61.6326993425225,58,6377.41087243912,TRUE
"BARRA DE SANTA ROSA",-35.9875198519742,-6.70225003825377,-63.2991999946663,35,7726.26198795099,TRUE
"NOVA PALMEIRA",-36.3105817174958,-6.65479761720977,-61.5782439836991,57,6337.55337358829,TRUE
"BARRA DE SANTA ROSA",-35.9973426661174,-6.74088046453304,-61.9790752149674,32,6636.86817377899,TRUE
