".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"AGUIAR",-38.2535565643154,-7.06325948021147,-65.4071607300611,29,9848.4405403592,TRUE
"AGUIAR",-38.2716481636839,-7.05686256602179,-64.1542935337669,29,8525.58340463908,TRUE
"AGUIAR",-38.2766243912467,-7.04481879819889,-63.3197120383598,33,7744.52939719799,TRUE
"AGUIAR",-38.2332789563296,-7.02469753260031,-65.8338595597255,45,10344.3309990607,TRUE
"AGUIAR",-38.2548304041337,-7.06708908413775,-65.406857293237,33,9848.096496462,TRUE
"AGUIAR",-38.2800475118869,-7.02528661890194,-62.9790748973868,49,7446.68829747745,TRUE
"AGUIAR",-38.2850776591153,-7.02250948388368,-62.401146931714,51,6967.33635924414,TRUE
"AGUIAR",-38.2641529179412,-7.03954213245079,-64.7040591636381,33,9082.64602484686,TRUE
"AGUIAR",-38.23739553181,-7.04144315736607,-65.0304093718148,29,9430.39533430912,TRUE
"AGUIAR",-38.2569143419714,-7.07548282377195,-65.4007548203473,33,9841.17991821831,TRUE
"AGUIAR",-38.2342697583047,-7.06683152550604,-63.288937591876,30,7717.13877851102,TRUE
"AGUIAR",-38.2489324492869,-7.06859659484826,-64.7932126513051,33,9176.35197376063,TRUE
"AGUIAR",-38.271436385275,-7.03796862920053,-63.8954173067931,35,8275.23424430857,TRUE
"AGUIAR",-38.266951578567,-7.05614377690718,-64.6344995965867,29,9010.19957245137,TRUE
"AGUIAR",-38.2839473063593,-7.03299951480009,-62.3300341686897,35,6910.52653871223,TRUE
"AGUIAR",-38.2920553454712,-7.04932804547489,-61.301101363937,29,6138.53164322758,TRUE
"AGUIAR",-38.2499060360344,-7.03613288950413,-66.0908082199155,37,10654.9113749951,TRUE
"AGUIAR",-38.2866489458551,-7.01967563431017,-62.2938921771589,51,6881.83157528917,TRUE
"AGUIAR",-38.2660629390833,-7.05638788923394,-64.7320404298215,29,9111.95260645976,TRUE
"AGUIAR",-38.2544339372918,-7.03254328672081,-65.6847517286489,39,10168.2687717741,TRUE
"AGUIAR",-38.2333296827973,-7.02310768613365,-65.9451704910053,45,10477.748150256,TRUE
"AGUIAR",-38.2631043853286,-7.06646144872304,-65.3093878518311,29,9738.20299577151,TRUE
"AGUIAR",-38.2637790285378,-7.04008957403485,-64.7450942464949,33,9125.65703847401,TRUE
"AGUIAR",-38.2824334599079,-7.07165669424232,-63.6106063450303,29,8008.28919472281,TRUE
"AGUIAR",-38.2475507433295,-7.06315675987635,-64.8444654919315,33,9230.65895320878,TRUE
"AGUIAR",-38.2656062706468,-7.05602315444738,-64.7700782225537,29,9151.94374280239,TRUE
"AGUIAR",-38.2621698129737,-7.07838658001047,-65.8310260118893,33,10340.9569778083,TRUE
"AGUIAR",-38.2803872932029,-7.0562467225758,-63.1286461831423,27,7576.03094419874,TRUE
"AGUIAR",-38.279120511436,-7.02700854925677,-63.05927356351,43,7515.76355664545,TRUE
"AGUIAR",-38.2570972802212,-7.05876906019874,-65.6575984938598,29,10136.5310585918,TRUE
"AGUIAR",-38.2583476681031,-7.05026519307174,-65.3851057479767,31,9823.46536123562,TRUE
"AGUIAR",-38.288216137183,-7.04321605047449,-61.7342753828166,29,6452.42848618719,TRUE
"AGUIAR",-38.2907075652249,-7.04957752157707,-61.5126833556223,29,6289.89793798357,TRUE
"AGUIAR",-38.2542722704682,-7.06801694391534,-65.3281642119215,33,9759.2769200584,TRUE
"AGUIAR",-38.2371230880219,-7.02954760088358,-65.7643196754706,43,10261.8441473759,TRUE
"AGUIAR",-38.2569544546587,-7.03908199570846,-65.4320491449119,35,9876.70057932709,TRUE
"AGUIAR",-38.2591859551195,-7.03153560835641,-65.2312386950298,39,9650.97888536862,TRUE
"AGUIAR",-38.2612783365652,-7.07271338244673,-65.6889505904554,33,10173.1854214781,TRUE
"AGUIAR",-38.2337342865673,-7.03576734323759,-65.1127772917391,31,9520.24873453345,TRUE
"AGUIAR",-38.26238149066,-7.05451353422139,-65.0620969139585,29,9464.86178606062,TRUE
"AGUIAR",-38.2518727152796,-7.02993322235305,-65.9386680309856,47,10469.9071983946,TRUE
