".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"SÃO JOSÉ DE PRINCESA",-38.1019847431272,-7.66137510288972,-63.0218882365614,31,7483.48413929309,TRUE
"SÃO JOSÉ DE PRINCESA",-38.117385448055,-7.79974084354471,-58.4145682875027,23,4402.89009861576,TRUE
"TAVARES",-37.9685446487093,-7.5446958135115,-66.1658815553873,19,10747.4023657787,TRUE
"OLHO D ÁGUA",-37.810030007484,-7.32257538726553,-67.5555105725404,9,12612.0289607526,TRUE
"MANAÍRA",-38.1783303150261,-7.65501249541994,-62.0529564174433,28,6693.56140093461,TRUE
"ITAPORANGA",-38.257047905685,-7.35965041357558,-63.0365886780222,34,7496.16029238075,TRUE
"JURU",-37.8022781031724,-7.57962486410979,-56.7905137943607,38,3652.03659269263,TRUE
"SANTANA DOS GARROTES",-37.9228081514413,-7.34640851321165,-64.0742355468152,15,8447.36399142001,TRUE
"SANTANA DOS GARROTES",-37.9716853544634,-7.37447906653397,-52.5292517384018,18,2236.00112454045,TRUE
"BOA VENTURA",-38.1881347994605,-7.43300625362899,-56.6388213606251,28,3588.81026746963,TRUE
"JURU",-37.7699682746135,-7.51315713925287,-60.381876770335,30,5522.08731278667,TRUE
"JURU",-37.8177190392563,-7.55911723205354,-50.6771013259102,33,1806.6103626781,TRUE
"PRINCESA ISABEL",-38.0120052473905,-7.63469450275879,-66.40571726947,28,11048.2958238272,TRUE
"JURU",-37.8448577425262,-7.55993297330569,-58.4804914337405,25,4436.43376927515,TRUE
"JURU",-37.8071229590388,-7.45981630620081,-65.2148610882435,17,9632.79870772616,TRUE
"TAVARES",-37.7929423451243,-7.61810598599259,-63.6242545404097,37,8020.88256351003,TRUE
"TAVARES",-37.9042724745633,-7.62482580828946,-56.0469163241487,27,3352.39548378344,TRUE
"JURU",-37.882799375435,-7.55849112472497,-63.7229290871272,23,8112.52195355476,TRUE
"SANTANA DE MANGUEIRA",-38.2612894211017,-7.60042835720815,-62.5728536934293,26,7106.44035611695,TRUE
"PRINCESA ISABEL",-38.0324413856544,-7.73745837232564,-59.0790449704919,30,4752.93285724885,TRUE
"CURRAL VELHO",-38.1396481154772,-7.60092527880333,-61.7883095665465,28,6492.69361037824,TRUE
"CURRAL VELHO",-38.1164346424449,-7.547541186749,-64.7662502422852,28,9147.91125530628,TRUE
"MANAÍRA",-38.1739435237652,-7.63616032078862,-60.5835751959037,31,5651.8182897946,TRUE
"SÃO JOSÉ DE PRINCESA",-38.097603397193,-7.59411019734107,-66.4005822941394,28,11041.7661576244,TRUE
"PRINCESA ISABEL",-37.9850274825987,-7.69879348280374,-56.9447112421671,29,3717.4487749504,TRUE
"SANTANA DOS GARROTES",-37.9567818043107,-7.39366589807905,-57.4168106889195,18,3925.09312570581,TRUE
"NOVA OLINDA",-37.9848128951673,-7.47898400640115,-61.0652933653661,21,5974.1221611562,TRUE
"PRINCESA ISABEL",-38.0229241921153,-7.66156334646512,-64.2476770093011,31,8617.73789726293,TRUE
"PRINCESA ISABEL",-37.9957362236274,-7.67199862278067,-62.0331762039692,31,6678.33562243691,TRUE
"MANAÍRA",-38.1976199516613,-7.77107052558567,-63.015883681387,27,7478.31259474428,TRUE
"PRINCESA ISABEL",-38.0072052782454,-7.69249438559636,-59.1384035771902,31,4785.52522266817,TRUE
"CURRAL VELHO",-38.1361220332148,-7.55316311884671,-62.5934013912129,29,7123.27154414149,TRUE
"JURU",-37.7844508854725,-7.47327698657755,-64.1389194826759,15,8510.50644313916,TRUE
"TAVARES",-37.8231035694299,-7.63548709738534,-60.6593621422838,32,5701.34783538831,TRUE
