".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"SUMÉ",-36.9190680121511,-7.55627111683914,-67.9168734042766,49,13147.8003575451,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9256826818429,-7.40658826025517,-57.5407515695747,51,3981.50265065454,TRUE
"LIVRAMENTO",-36.9137672910906,-7.3816189535273,-56.3278908987241,34,3462.61316298131,TRUE
"SUMÉ",-36.9335829951308,-7.51626692473272,-69.3303722603511,45,15471.344039456,TRUE
"SUMÉ",-36.8875531338595,-7.53627367534989,-68.6592028465874,43,14320.8756275639,TRUE
"SERRA BRANCA",-36.8037322083462,-7.56336417550536,-68.0559035353337,36,13359.9430690935,TRUE
"SERRA BRANCA",-36.88639323618,-7.53438629916252,-68.7738055381831,43,14511.0790386524,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8831563171439,-7.44181022689061,-65.5000675110776,46,9954.34769817969,TRUE
"SUMÉ",-36.8697156674668,-7.56556775130646,-66.3261073535374,45,10947.4960808449,TRUE
"SUMÉ",-36.8331955031465,-7.56847833467962,-66.6548496806144,36,11369.7761612823,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8480176286746,-7.49160386056954,-67.0409064099164,39,11886.5207054328,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.911052536077,-7.40736718814203,-59.6564984853889,54,5079.65661535388,TRUE
"SERRA BRANCA",-36.8018115113929,-7.49489360892528,-66.6916441499048,35,11418.0420533555,TRUE
"SUMÉ",-36.8868132834296,-7.4939808632558,-68.6225202616578,37,14260.5226840915,TRUE
"SUMÉ",-36.9391365165796,-7.51715962447541,-68.983198126967,41,14865.1514086657,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9660672096975,-7.4822764367176,-67.1203739430541,50,11995.7699339857,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.969545516276,-7.4786218697516,-66.8918548827628,50,11684.2858938261,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8475799560055,-7.46200179055648,-64.5346222723355,43,8907.18647118458,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9270300186678,-7.43700733402127,-62.4746374336848,55,7026.53643222207,TRUE
"SUMÉ",-36.8451985535185,-7.54760351249331,-67.962738897773,39,13217.4104173027,TRUE
"SUMÉ",-36.9352276928697,-7.52646986649686,-69.0173209923375,41,14923.6646118988,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.855030999656,-7.41257603050524,-60.6254890045951,48,5679.15707903307,TRUE
"SUMÉ",-36.8763335045401,-7.55057269207517,-67.5651662123944,43,12626.0568757103,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.921248042348,-7.42817720676156,-61.5627593009653,52,6326.26522870669,TRUE
"SUMÉ",-36.9348278971363,-7.52657869135344,-69.0396687109414,43,14962.1107906067,TRUE
"SERRA BRANCA",-36.8073211945101,-7.51655458140502,-68.3333115388517,38,13793.5167835918,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8404662373449,-7.46918970964232,-64.8876614245031,43,9276.67842173784,TRUE
"SERRA BRANCA",-36.8576295861017,-7.53242591464275,-68.8713472685484,39,14674.9555392734,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9664691819783,-7.48225743498968,-67.125283255827,50,12002.5519258027,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8348723015256,-7.4361794408256,-60.7080679885399,43,5733.4077631573,TRUE
"SUMÉ",-36.8896241321202,-7.52196665376739,-69.5784135734203,43,15919.5251496106,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8224259054728,-7.39149032084586,-49.6013877322011,22,1596.16879939703,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9732168931488,-7.39359202262329,-56.9333228283172,32,3712.57787457033,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9494315775085,-7.4073306490978,-56.450144523601,47,3511.69392977621,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8543026227943,-7.44349037835689,-63.2333631463183,43,7667.9202617659,TRUE
"LIVRAMENTO",-36.9455583501115,-7.38192579106742,0,34,669.758761188463,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9869280603222,-7.43136101512553,-63.2766494707819,52,7706.22888983667,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8224168351825,-7.40140285220312,-51.178398321616,35,1913.94452958403,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9222153869431,-7.49321440796682,-67.9531339679285,52,13202.8025718802,TRUE
