".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"MANAÍRA",-38.1207047692552,-7.69644049026538,-56.542812567851,26,3549.36006906714,TRUE
"MANAÍRA",-38.1475842904585,-7.69213322522119,-50.9492029361989,25,1864.10159271934,TRUE
"CURRAL VELHO",-38.1690164392168,-7.57813820610754,-56.3061986638072,35,3453.97638462237,TRUE
"PRINCESA ISABEL",-38.0068381442508,-7.60467110511381,-68.5962065044016,27,14217.3860431993,TRUE
"PRINCESA ISABEL",-38.0486799441097,-7.61534211407416,-68.7421555356144,29,14458.2991900092,TRUE
"PEDRA BRANCA",-38.0563055493223,-7.46565352166072,-52.8705966780638,22,2325.62273619303,TRUE
"ITAPORANGA",-38.1336195429141,-7.30394501700066,-47.8424215653516,28,1303.55844938146,TRUE
"MANAÍRA",-38.1992637766345,-7.74118052301928,-61.7620228391628,27,6473.07401164583,TRUE
"SÃO JOSÉ DE PRINCESA",-38.125768701295,-7.79576441792306,-57.4482089629604,25,3939.30746334206,TRUE
"SANTANA DOS GARROTES",-37.9691356055956,-7.35831659270916,-56.501232030605,18,3532.40940372032,TRUE
"PRINCESA ISABEL",-37.9909778605035,-7.64947264601942,-64.7561890148937,32,9137.32098381085,TRUE
"TAVARES",-37.9424467374157,-7.55362824706826,-66.6789990601666,19,11401.4315360466,TRUE
"PEDRA BRANCA",-38.0821143257018,-7.54968503066339,-64.9055798569748,28,9295.83536650628,TRUE
"JURU",-37.7730962442985,-7.59898276331369,-62.262362551733,37,6856.89593400246,TRUE
"ITAPORANGA",-38.2519032041129,-7.31145858934615,-64.2219566295828,34,8592.25707143261,TRUE
"TAVARES",-37.8242793140054,-7.62083699456416,-60.6190565140463,32,5674.95283488445,TRUE
"CURRAL VELHO",-38.20302047893,-7.55416972779203,-51.2025644018381,27,1919.27696427033,TRUE
"SANTANA DOS GARROTES",-37.9613019899517,-7.35035022145603,-59.1027895853562,18,4765.94372470402,TRUE
"SANTANA DE MANGUEIRA",-38.2093947288632,-7.6402142082341,-60.5241220012314,31,5613.26480871757,TRUE
"TAVARES",-37.9271205607621,-7.53583867575508,-67.1607838023289,15,12051.7085602868,TRUE
"SANTANA DOS GARROTES",-37.9816926646564,-7.34354368080385,-58.3667355554397,18,4378.71025677789,TRUE
