".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"TAPEROÁ",-36.8174570667403,-7.27630950136763,-63.2362680854219,37,7670.48517654072,TRUE
"LIVRAMENTO",-36.9301730116209,-7.37499324510526,-49.6085400824252,34,1597.48369751415,TRUE
"DESTERRO",-37.1515538692552,-7.28355069026538,-62.6310347983225,84,7154.20154319952,TRUE
"TEIXEIRA",-37.1784333904585,-7.27924342522119,-65.6721982285485,103,10153.5834407364,TRUE
"CACIMBA DE AREIA",-37.1998655392168,-7.16524840610754,-61.8201435891137,113,6516.53316928195,TRUE
"LIVRAMENTO",-36.956467265271,-7.32007212481648,-61.5488634769931,40,6316.15246072057,TRUE
"CACIMBAS",-37.0376872442508,-7.19178130511381,-55.2113288587157,51,3044.91990790282,TRUE
"CACIMBAS",-37.0795290441097,-7.20245231407416,-53.5538651920942,93,2515.95396418105,TRUE
"QUIXABÁ",-37.0871546493223,-7.05276372166072,-62.8173912407441,87,7309.35394949965,TRUE
"SÃO MAMEDE",-37.1644686429141,-6.89105521700066,-64.1798497122516,70,8550.7048587488,TRUE
"SÃO MAMEDE",-36.9999847055956,-6.94542679270916,-66.2353583772041,28,10833.7135794424,TRUE
"CACIMBAS",-37.0218269605035,-7.23658284601942,-59.4274429198284,49,4947.45185547849,TRUE
"AREIA DE BARAÚNAS",-36.9732958374157,-7.14073844706826,-57.2421302417875,36,3846.94469514477,TRUE
"CACIMBA DE AREIA",-37.1129634257018,-7.13679523066339,-58.8194531440158,92,4612.98548322075,TRUE
"TAPEROÁ",-36.8039453442985,-7.18609296331369,-55.9866619284067,35,3329.22024666308,TRUE
"SÃO JOSÉ DE ESPINHARAS",-37.2827523041129,-6.89856878934615,-60.5100410562431,74,5604.1723560376,TRUE
"TAPEROÁ",-36.8551284140054,-7.20794719456416,-55.9059311481265,34,3298.42025039053,TRUE
"CACIMBA DE AREIA",-37.23386957893,-7.14127992779203,-63.8676960398878,111,8248.86569629036,TRUE
"SÃO MAMEDE",-36.9921510899517,-6.93746042145603,-66.7868594071919,25,11543.8958821541,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8721172818992,-7.37669458273985,-62.7788564046764,38,7276.99792267257,TRUE
"TEIXEIRA",-37.2402438288632,-7.2273244082341,-48.4204341024541,122,1393.25668598884,TRUE
"LIVRAMENTO",-36.8516494432775,-7.33064549799264,-63.9311737043772,38,8309.37034912252,TRUE
"AREIA DE BARAÚNAS",-36.9579696607621,-7.12294887575508,-49.581888224777,38,1592.5894775215,TRUE
"SÃO MAMEDE",-37.0125417646564,-6.93065388080385,-64.8868979930896,27,9275.86309978589,TRUE
"TAPEROÁ",-36.9787225924743,-7.18955780087226,-48.5282573475091,37,1410.65982530088,TRUE
"CACIMBAS",-37.1516525952689,-7.19618066352513,-63.0459533478472,107,7504.24661687898,TRUE
"SÃO MAMEDE",-37.158694337712,-6.90336023456138,-62.9192895344791,70,7395.60840649711,TRUE
"PATOS",-37.2559292326992,-6.96277950761095,-57.342095456839,81,3891.47463080918,TRUE
"TEIXEIRA",-37.1991844300724,-7.28680594392308,-64.7250867259552,101,9104.66072657878,TRUE
"SANTA LUZIA",-36.9188859666543,-6.90067779632472,-57.6140854377221,23,4015.26027936378,TRUE
"CACIMBA DE AREIA",-37.0962372131258,-7.15254342380167,-61.2668649637447,93,6114.38356037155,TRUE
"SANTA LUZIA",-36.9209538156943,-6.93677421227284,-63.6158759557617,25,8013.14918860749,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8284465149123,-7.38489712203108,-53.0969201822574,22,2387.01660329063,TRUE
"SANTA LUZIA",-36.9020394804034,-6.94798483069707,-64.9661954737273,29,9360.93445634692,TRUE
"SÃO MAMEDE",-36.9437692320285,-6.98076098504197,-67.958022986488,36,13210.2361128481,TRUE
"PATOS",-37.2614398902593,-6.9161253265217,-58.9608253748969,73,4688.68114526562,TRUE
"TAPEROÁ",-36.826914063779,-7.26729491817486,-61.9669370648454,37,6627.59991885615,TRUE
"QUIXABÁ",-37.1882707129776,-7.00960746487789,-59.2970093175328,86,4873.71238765381,TRUE
"SANTA LUZIA",-36.9982267029196,-6.90683995314129,-65.5970633456993,23,10066.1314639711,TRUE
"PATOS",-37.2683632186459,-7.02643637625687,0,88,734.4191517242,TRUE
"SÃO JOSÉ DO BONFIM",-37.285087656936,-7.10095641260222,-60.3357853384113,104,5492.86211987357,TRUE
"DESTERRO",-37.1330800701476,-7.29767579234858,-59.8420644598194,76,5189.34630383875,TRUE
"CACIMBA DE AREIA",-37.1928959735747,-7.18972149268911,-62.2676488266361,109,6861.07034454895,TRUE
"DESTERRO",-37.0911747495489,-7.28665980800242,0,58,513.243522792389,TRUE
"SÃO MAMEDE",-37.1430157906221,-6.97566692751088,-61.2651400021479,88,6113.16940384327,TRUE
"JUNCO DO SERIDÓ",-36.8252641161749,-7.04787736117095,-61.6447526887917,25,6386.2669027144,TRUE
"TAPEROÁ",-36.987584455063,-7.26508487468772,-65.2451456350271,47,9666.4434023301,TRUE
"SANTA LUZIA",-36.8067031068572,-6.92065932763462,-65.9424106001312,16,10474.4194356374,TRUE
"SÃO MAMEDE",-37.1044104051621,-6.88893984175474,-58.3981566365212,71,4394.57886319922,TRUE
"SALGADINHO",-36.8074124978235,-7.1189579910012,-58.585995764524,31,4490.65011732153,TRUE
"SALGADINHO",-36.8337459376858,-7.09308660762571,-49.4439502707555,31,1567.49781546001,TRUE
"SANTA LUZIA",-36.8042482745446,-6.93862292146031,-65.4254683540184,22,9869.22041458518,TRUE
"TAPEROÁ",-36.893078958507,-7.26716768216528,-65.5306103971431,36,9989.41257901405,TRUE
