".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"IMACULADA",-37.6927664667402,-7.33491920136763,-68.3949115652206,18,13891.6876241567,TRUE
"JURU",-37.8054824116209,-7.43360294510526,-67.5006658317366,18,12532.6445466777,TRUE
"SANTANA DOS GARROTES",-38.0268632692552,-7.34216039026538,-61.0747333646125,20,5980.61848659321,TRUE
"SANTANA DOS GARROTES",-38.0537427904584,-7.33785312522119,-64.167175894834,25,8538.23739113566,TRUE
"PIANCÓ",-38.0751749392168,-7.22385810610754,-65.443223207067,23,9889.4147502411,TRUE
"OLHO D ÁGUA",-37.831776665271,-7.37868182481648,-70.4098290313446,12,17518.659931603,TRUE
"PIANCÓ",-37.9129966442508,-7.25039100511381,-59.8750677019449,18,5209.10145215614,TRUE
"PIANCÓ",-37.9548384441097,-7.26106201407416,-63.1166970907477,17,7565.61583904401,TRUE
"PIANCÓ",-37.9624640493223,-7.11137342166072,-65.7275939337261,22,10218.5465434396,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.0397780429141,-6.94966491700066,-67.8725468894913,38,13080.8743854218,TRUE
"PEDRA BRANCA",-38.1054222766344,-7.38690042301928,-61.2551771066496,25,6106.16149167207,TRUE
"NOVA OLINDA",-38.031927201295,-7.44148431792306,-57.7106808759722,23,4060.16304975945,TRUE
"CAJAZEIRINHAS",-37.8752941055956,-7.00403649270916,-63.4460809533363,22,7858.0263065459,TRUE
"OLHO D ÁGUA",-37.8971363605035,-7.29519254601942,-65.872150295685,16,10390.033444147,TRUE
"PIANCÓ",-37.8486052374157,-7.19934814706826,-63.2162360040826,12,7652.81528445392,TRUE
"PIANCÓ",-37.9882728257018,-7.19540493066339,-62.3470612683202,18,6924.0866500822,TRUE
"OLHO D ÁGUA",-37.6792547442985,-7.24470266331369,-63.9950513340033,16,8370.70424058691,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.1580617041129,-6.95717848934615,-48.9981115794704,44,1489.06964209084,TRUE
"OLHO D ÁGUA",-37.7304378140054,-7.26655689456416,-59.9658466762682,12,5263.82890447816,TRUE
"IGARACY",-38.1091789789299,-7.19988962779203,-60.1446521743229,29,5373.31176403234,TRUE
"CAJAZEIRINHAS",-37.8674604899517,-6.99607012145603,-63.9772113154868,22,8353.52922787681,TRUE
"JURU",-37.7474266818992,-7.43530428273985,-68.4481435613414,21,13977.085080205,TRUE
"ITAPORANGA",-38.1155532288632,-7.2859341082341,-55.1840464652846,28,3035.3708142471,TRUE
"JURU",-37.7269588432775,-7.38925519799264,-70.3652295048947,15,17428.9372362491,TRUE
"PIANCÓ",-37.8332790607621,-7.18155857575508,-65.2207090594418,12,9639.28639056729,TRUE
"CAJAZEIRINHAS",-37.8878511646564,-6.98926358080385,-62.6316564384026,22,7154.71358027978,TRUE
"OLHO D ÁGUA",-37.8540319924743,-7.24816750087226,-64.2276243852874,8,8597.86555923324,TRUE
"PIANCÓ",-38.0269619952689,-7.25479036352513,-67.6934705657743,20,12813.9480513977,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.034003737712,-6.96196993456138,-66.9594811071432,19,11775.6119622131,TRUE
"AGUIAR",-38.1312386326992,-7.02138920761095,-64.6383090847804,23,9014.1521643505,TRUE
"ITAPORANGA",-38.0744938300724,-7.34541564392308,-64.0304800888125,25,8404.91711782977,TRUE
"CAJAZEIRINHAS",-37.7941953666543,-6.95928749632472,0,24,717.081953469975,TRUE
"PIANCÓ",-37.9715466131258,-7.21115312380167,-59.9662497383113,18,5264.07317408654,TRUE
"CAJAZEIRINHAS",-37.7962632156943,-6.99538391227284,-57.147810013985,27,3805.39664903373,TRUE
"ÁGUA BRANCA",-37.7037559149123,-7.44350682203108,-66.4771997462078,23,11139.5954220436,TRUE
"CAJAZEIRINHAS",-37.7773488804034,-7.00659453069707,-60.5448891409891,27,5626.70165012669,TRUE
"EMAS",-37.8190786320285,-7.03937068504197,-64.5137674399523,26,8885.82595838685,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.1367492902593,-6.9747350265217,-58.621634210309,44,4509.11323057496,TRUE
"OLHO D ÁGUA",-37.702223463779,-7.32590461817486,-67.4971856462394,16,12527.6240832646,TRUE
"COREMAS",-38.0635801129776,-7.06821716487789,-67.1530691978383,18,12041.0092661063,TRUE
"CAJAZEIRINHAS",-37.8735361029196,-6.96544965314129,-63.7058062932315,21,8096.54521208081,TRUE
"AGUIAR",-38.1436726186459,-7.08504607625687,-55.1127117484584,28,3010.54427174675,TRUE
"IGARACY",-38.160397056936,-7.15956611260222,-53.989874157738,28,2645.47181319043,TRUE
"SANTANA DOS GARROTES",-38.0083894701476,-7.35628549234858,-56.3784551308771,20,3482.82928286555,TRUE
"PIANCÓ",-38.0682053735747,-7.24833119268911,-65.1485119358524,25,9559.49669758155,TRUE
"SANTANA DOS GARROTES",-37.9664841495489,-7.34526950800242,-59.2750513592368,18,4861.40718665059,TRUE
"COREMAS",-38.0183251906221,-7.03427662751088,-63.858689546861,17,8240.31679111358,TRUE
"EMAS",-37.7005735161749,-7.10648706117095,-49.110729064126,23,1508.50197780823,TRUE
"OLHO D ÁGUA",-37.862893855063,-7.32369457468772,-68.8302974442325,10,14605.7648035628,TRUE
"CAJAZEIRINHAS",-37.6820125068572,-6.97926902763461,-66.0866836524872,31,10649.8530022073,TRUE
"POMBAL",-37.9797198051621,-6.94754954175474,-64.5651914358915,23,8938.5896958443,TRUE
"OLHO D ÁGUA",-37.6827218978235,-7.1775676910012,-64.2702791107653,17,8640.19185854692,TRUE
"EMAS",-37.7090553376858,-7.15169630762571,-59.6563840035336,15,5079.58966485074,TRUE
"CAJAZEIRINHAS",-37.6795576745446,-6.99723262146031,-67.5256843299614,30,12568.7951262892,TRUE
"OLHO D ÁGUA",-37.768388358507,-7.32577738216528,-66.656717190726,14,11372.2209833576,TRUE
"SÃO BENTINHO",-37.7263882343925,-6.99010058741001,-64.408415960467,28,8778.70042192532,TRUE
"IGARACY",-38.0876724155189,-7.11485051053492,-64.9682255206033,23,9363.12252888752,TRUE
"COREMAS",-37.9529033355449,-7.0714420030537,-60.6328078654315,18,5683.94443860255,TRUE
"PIANCÓ",-37.9291427850059,-7.12364809032911,-63.8867465143498,13,8266.97751536166,TRUE
"SANTANA DOS GARROTES",-38.0671209589147,-7.37397241817703,-61.1842329672809,25,6056.49104020886,TRUE
"SANTANA DOS GARROTES",-37.9001199126744,-7.35550973032983,-65.8772385813104,15,10396.1218183039,TRUE
"OLHO D ÁGUA",-37.7103978795732,-7.28569663192062,-63.8363480743766,15,8219.14863755845,TRUE
"ITAPORANGA",-38.0998158361564,-7.25789282684596,-61.2506536014067,23,6102.98230525428,TRUE
"ÁGUA BRANCA",-37.7124304733972,-7.41160907227928,-68.7582453915345,22,14485.1067547912,TRUE
"COREMAS",-37.891833926764,-7.01925761827184,-60.8267337015011,22,5812.27448626438,TRUE
"OLHO D ÁGUA",-37.714371733464,-7.31743376019327,-66.4647593189807,16,11123.6520774612,TRUE
"EMAS",-37.7211919731728,-7.16234373084185,-61.488448014635,12,6272.37234653072,TRUE
"OLHO D ÁGUA",-37.7934144352132,-7.28154464722061,-63.384726915579,9,7802.71557881043,TRUE
"IGARACY",-38.110893597108,-7.18944951837798,-59.3372122391359,29,4896.32280951225,TRUE
"COREMAS",-38.0044217104825,-7.04843999274922,-62.7481758049649,16,7251.33920198161,TRUE
"SANTANA DOS GARROTES",-37.8800642806838,-7.36763566003097,-67.3301351117592,14,12288.9898719898,TRUE
"SANTANA DOS GARROTES",-38.0026121149805,-7.35034691604702,-57.0616750567578,18,3767.84634372733,TRUE
"EMAS",-37.7781057153863,-7.12119590192484,-62.7501990122401,16,7253.02845565958,TRUE
"COREMAS",-37.9355723545688,-7.02825167371807,-47.6968794643561,22,1281.89780510843,TRUE
"ITAPORANGA",-38.0568010158406,-7.34262261439031,-64.1637897244054,23,8534.90943127371,TRUE
"PEDRA BRANCA",-38.1066302173805,-7.38505234142681,-61.5926889581179,25,6348.10174163275,TRUE
"IGARACY",-38.1464151375496,-7.12511188540989,-58.3169112248545,26,4353.66483434852,TRUE
"SÃO BENTINHO",-37.6968620194622,-6.94642245529135,-62.0185339891222,28,6667.08712004472,TRUE
"OLHO D ÁGUA",-37.7731831091025,-7.17712203277657,-60.6575722527495,11,5700.1730873917,TRUE
"PIANCÓ",-38.0353459381533,-7.25995438852729,-67.3703063545688,23,12345.9566708127,TRUE
"SANTANA DOS GARROTES",-37.9915105446509,-7.34101291773291,-58.7056390243092,17,4552.93428483782,TRUE
"PIANCÓ",-37.912939439275,-7.22774224185301,-54.2638312189155,17,2730.24104709984,TRUE
"PEDRA BRANCA",-38.0543715591577,-7.43485800937665,-50.5537974121146,23,1781.14510350036,TRUE
"PIANCÓ",-37.9366335182951,-7.1582256997182,-58.7892093284609,19,4596.95123930935,TRUE
"ITAPORANGA",-38.0860585327993,-7.33070125900591,-61.9264111086275,25,6596.74939855468,TRUE
"OLHO D ÁGUA",-37.6797017038136,-7.23163435123311,-63.6568474981617,16,8051.03668659292,TRUE
"EMAS",-37.7891477264731,-7.12117086797403,-64.0707981548323,16,8444.02165601941,TRUE
"SANTANA DOS GARROTES",-37.9315886281931,-7.39170599709647,-61.9041601089105,16,6579.8718622388,TRUE
"COREMAS",-38.0074554531404,-6.96658892130395,-64.7422580844518,17,9122.67776771276,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.0788318108336,-6.9992961088839,-66.5787905130136,19,11270.6498182991,TRUE
