".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"CARRAPATEIRA",-38.3311594667403,-7.02890640136763,-51.2311313428528,49,1925.59964789625,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4438754116209,-7.12759014510526,-61.4058424782755,38,6213.00287567746,TRUE
"CAJAZEIRAS",-38.6652562692552,-7.03614759026538,-67.4005560229904,44,12389.0279253058,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.7135679392168,-6.91784530610754,-57.9768066528774,34,4186.48715802448,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.470169665271,-7.07266902481648,-61.2298244505193,48,6088.36461533299,TRUE
"CAJAZEIRAS",-38.5513896442508,-6.94437820511381,-60.2942734557745,50,5466.67308844916,TRUE
"CAJAZEIRAS",-38.5932314441097,-6.95504921407416,-62.7337315770725,52,7239.29058523439,TRUE
"BOM JESUS",-38.6008570493223,-6.80536062166072,-60.8402891495264,43,5821.35236997918,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.670320201295,-7.13547151792306,-67.178050712445,46,12075.6903000751,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.5136871055956,-6.69802369270916,-62.2497888538772,49,6846.97706928698,TRUE
"CAJAZEIRAS",-38.5355293605035,-6.98917974601942,-66.0065688002256,43,10552.0750335156,TRUE
"CAJAZEIRAS",-38.4869982374157,-6.89333534706826,-62.4360105371147,48,6995.35819927188,TRUE
"CAJAZEIRAS",-38.6266658257018,-6.88939213066339,-62.066664347647,43,6704.13341110904,TRUE
"NAZAREZINHO",-38.3176477442985,-6.93868986331369,-56.28047033653,70,3443.76055693274,TRUE
"NAZAREZINHO",-38.3688308140054,-6.96054409456416,-63.4295463102784,73,7843.08183044281,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.5058534899517,-6.69005732145603,-61.8268865827313,51,6521.59402128905,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.3858196818992,-7.12929148273985,-65.2367626372021,25,9657.11854489177,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.3653518432775,-7.08324239799264,-60.316363917027,43,5480.59394503103,TRUE
"CAJAZEIRAS",-38.4716720607621,-6.87554577575508,-64.5692613257308,70,8942.77897307201,TRUE
"TRIUNFO",-38.5262441646564,-6.68325078080385,-64.4600905513338,49,8831.082831722,TRUE
"CAJAZEIRAS",-38.4924249924743,-6.94215470087226,-63.8900072838924,45,8270.08160373448,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.6653549952689,-6.94877756352513,-54.8717758575186,40,2928.18305828444,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4325883666543,-6.65327469632472,-63.8344170941839,68,8217.32162272739,TRUE
"CAJAZEIRAS",-38.6099396131258,-6.90514032380166,-59.7122638288507,46,5112.37405491985,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4346562156943,-6.68937111227284,-58.6280280645501,74,4512.43369951363,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.3421489149123,-7.13749402203108,-64.664683217082,35,9041.56464124084,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4157418804034,-6.70058173069707,-59.3293418595277,71,4891.88820728224,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4574716320285,-6.73335788504197,0,74,810.600690375358,TRUE
"CARRAPATEIRA",-38.340616463779,-7.01989181817486,-51.7504086646339,53,2044.2305011899,TRUE
"TRIUNFO",-38.5119291029196,-6.65943685314129,-64.8705745846346,51,9258.44732298996,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6467824701476,-7.05027269234858,-68.6275363903027,44,14268.7605593629,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.7065983735747,-6.94231839268911,-57.3057168142608,36,3875.21026109806,TRUE
"CAJAZEIRAS",-38.6048771495489,-7.03925670800242,-68.8408084363248,44,14623.4502695201,TRUE
"SANTA HELENA",-38.6567181906221,-6.72826382751088,-51.3939951982204,39,1962.04602467934,TRUE
"MARIZÓPOLIS",-38.3389665161749,-6.80047426117095,-59.769565021089,65,5146.21210203233,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.501286855063,-7.01768177468772,-66.5531062232731,44,11237.3715850923,TRUE
"SOUSA",-38.3204055068572,-6.67325622763461,-68.2704630592912,54,13694.0712661767,TRUE
"TRIUNFO",-38.6181128051621,-6.64153674175474,-62.3770799128491,45,6948.05785958159,TRUE
"SOUSA",-38.3211148978235,-6.8715548910012,-57.5941528881701,65,4006.05654597608,TRUE
"MARIZÓPOLIS",-38.3474483376858,-6.84568350762571,0,62,661.095757227654,TRUE
"SOUSA",-38.3179506745446,-6.69121982146031,-67.2523095245166,52,12179.372320068,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.406781358507,-7.01976458216528,-62.3920193046393,49,6960.01853141198,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3647812343925,-6.68408778741001,-66.0282057210515,50,10578.3934681617,TRUE
"SANTA HELENA",-38.5912963355449,-6.7654292030537,-62.7513241262075,43,7253.96802690815,TRUE
"CAJAZEIRAS",-38.5675357850059,-6.81763529032911,-62.6303287737178,45,7153.62004409602,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5385129126744,-7.04949693032983,-64.4680161727348,46,8839.14461519683,TRUE
"NAZAREZINHO",-38.3487908795733,-6.97968383192061,-61.6588061808585,69,6396.60804219035,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.7382088361565,-6.95188002684596,-63.0103932405135,36,7473.58696955258,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.3508234733972,-7.10559627227928,-63.0990434476243,33,7550.25471292551,TRUE
"SANTA HELENA",-38.5302269267641,-6.71324481827184,-63.7651919215058,51,8152.09114693553,TRUE
"CARRAPATEIRA",-38.352764733464,-7.01142096019327,-54.9872094363504,55,2967.35770716154,TRUE
"MARIZÓPOLIS",-38.3595849731728,-6.85633093084185,-48.705091174907,62,1439.67342961951,TRUE
"CAJAZEIRAS",-38.4318074352132,-6.97553184722061,-66.8790011863287,51,11667.0078486954,TRUE
"SANTA HELENA",-38.6428147104825,-6.74242719274922,-52.8032078084904,39,2307.64936695314,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5184572806838,-7.06162286003097,-62.0759225841043,43,6711.28311550278,TRUE
"CAJAZEIRAS",-38.6410051149806,-7.04433411604702,-68.3354797582092,44,13796.9604266124,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4164987153863,-6.81518310192484,-63.2615629927935,63,7692.85559703485,TRUE
"SANTA HELENA",-38.5739653545688,-6.72223887371807,-62.8365727111382,50,7325.5133857881,TRUE
"SOUSA",-38.3352550194622,-6.64040965529135,-67.6228804941766,53,12710.2313447986,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4115761091025,-6.87110923277657,-62.4969123859089,72,7044.57910070606,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.6737389381533,-6.95394158852729,-55.7772009013606,40,3249.89609314114,TRUE
"CAJAZEIRAS",-38.6299035446509,-7.03500011773291,-67.974537577889,44,13235.3767937761,TRUE
