".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"SÃO JOSÉ DA LAGOA TAPADA",-38.2128683667402,-6.90722070136763,-62.1215034425959,39,6746.59442093239,TRUE
"NAZAREZINHO",-38.3255843116209,-7.00590444510526,-57.9561063081607,71,4176.52173753893,TRUE
"CAJAZEIRAS",-38.5469651692552,-6.91446189026538,-52.362791434139,49,2193.55739551025,TRUE
"CAJAZEIRAS",-38.5738446904584,-6.91015462522119,-50.9022332447896,50,1854.0485098091,TRUE
"BOM JESUS",-38.5952768392168,-6.79615960610754,-62.0104242742331,43,6660.86519632746,TRUE
"NAZAREZINHO",-38.351878565271,-6.95098332481648,-60.875886279662,73,5845.25880399083,TRUE
"CAJAZEIRAS",-38.4330985442508,-6.82269250511381,-64.7481833737915,65,9128.90314577604,TRUE
"CAJAZEIRAS",-38.4749403441097,-6.83336351407416,-66.1611607531917,68,10741.5627134656,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4825659493223,-6.68367492166071,-59.8788677898244,73,5211.38093933895,TRUE
"TRIUNFO",-38.5598799429141,-6.52196641700066,-63.1211813209769,24,7569.52271831388,TRUE
"CAJAZEIRAS",-38.6255241766344,-6.95920192301928,-62.1709481129106,41,6785.10911783702,TRUE
"CAJAZEIRAS",-38.552029101295,-7.01378581792305,-67.8388406279103,43,13030.2114124685,TRUE
"UIRAÚNA",-38.3953960055956,-6.57633799270916,-61.4418942419526,48,6238.84423583996,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4172382605035,-6.86749404601942,-63.0125761310556,73,7475.46542681363,TRUE
"SOUSA",-38.3687071374157,-6.77164964706826,-63.8776739064498,70,8258.34697881484,TRUE
"SANTA HELENA",-38.5083747257018,-6.76770643066339,-63.0244723932483,55,7485.7108971025,TRUE
"SOUSA",-38.1993566442985,-6.81700416331369,-61.1662911265845,45,6043.99347821867,TRUE
"SOUSA",-38.2505397140054,-6.83885839456416,-61.5848239604139,46,6342.35619225023,TRUE
"SANTA HELENA",-38.6292808789299,-6.77219112779203,-60.0570394058568,39,5319.38471469842,TRUE
"UIRAÚNA",-38.3875623899517,-6.56837162145603,-60.7106175901127,48,5735.09095874159,TRUE
"AGUIAR",-38.2675285818992,-7.00760578273985,-64.9211457218973,51,9312.50924294098,TRUE
"CAJAZEIRAS",-38.6356551288632,-6.8582356082341,-59.9067770064103,37,5228.15290932139,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.2470607432775,-6.96155669799264,-64.738479110856,40,9118.70962379846,TRUE
"SOUSA",-38.3533809607621,-6.75386007575508,-65.5826153802451,69,10049.4015450391,TRUE
"UIRAÚNA",-38.4079530646564,-6.56156508080385,-58.3020391545926,40,4346.21682239744,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3741338924743,-6.82046900087226,-56.4850456017437,62,3525.8327773385,TRUE
"CAJAZEIRAS",-38.5470638952689,-6.82709186352513,-61.6022594739847,45,6355.10022934028,TRUE
"TRIUNFO",-38.554105637712,-6.53427143456138,-61.9427598001783,24,6609.17757643935,TRUE
"CAJAZEIRAS",-38.5945957300724,-6.91771714392307,-57.7636807520449,46,4085.0132385397,TRUE
"UIRAÚNA",-38.3142972666543,-6.53158899632472,-57.7658080572823,53,4086.01384235471,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4916485131258,-6.78345462380166,-63.0549541627192,69,7512.02697630196,TRUE
"UIRAÚNA",-38.3163651156943,-6.56768541227284,-59.7931465192166,52,5160.20264075683,TRUE
"AGUIAR",-38.2238578149123,-7.01580832203108,-65.5415666634469,46,10002.0210423169,TRUE
"VIEIRÓPOLIS",-38.2974507804034,-6.57889603069707,-59.0517109936845,50,4737.99917096829,TRUE
"VIEIRÓPOLIS",-38.3391805320285,-6.61167218504197,-65.8364066279695,54,10347.3648368825,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.222325363779,-6.89820611817486,-63.8034503901539,39,8188.0776059669,TRUE
"TRIUNFO",-38.5836820129776,-6.64051866487789,-62.4256615411827,45,6987.02838788691,TRUE
"UIRAÚNA",-38.3936380029196,-6.53775115314129,-53.6534559949647,25,2544.96744036247,TRUE
"CAJAZEIRAS",-38.5284913701476,-6.92858699234858,-58.4974366196798,47,4445.09719652209,TRUE
"CAJAZEIRAS",-38.5883072735747,-6.82063269268911,-62.6407682802815,43,7162.22309609555,TRUE
"CAJAZEIRAS",-38.4865860495489,-6.91757100800242,-63.0165226550578,48,7478.86275377411,TRUE
"TRIUNFO",-38.5384270906221,-6.60657812751088,-58.7217829341986,28,4561.40440282505,TRUE
"SOUSA",-38.2206754161749,-6.67878856117095,-64.414853692107,50,8785.20935406833,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.382995755063,-6.89599607468772,-61.8396025208792,68,6531.14847359598,TRUE
"VIEIRÓPOLIS",-38.2021144068572,-6.55157052763461,-59.3365570532072,44,4895.95348858456,TRUE
"SANTARÉM",-38.4998217051621,-6.51985104175474,-59.0385316165918,24,4730.81550524744,TRUE
"SOUSA",-38.2028237978235,-6.7498691910012,-54.6426693189967,50,2851.9564973019,TRUE
"SOUSA",-38.2291572376858,-6.72399780762571,-57.0441144876507,50,3760.23645120946,TRUE
"LASTRO",-38.1996595745446,-6.56953412146031,-61.9166527827792,42,6589.34231813662,TRUE
"SOUSA",-38.288490258507,-6.89807888216528,-57.1198115605582,57,3793.14992607009,TRUE
"VIEIRÓPOLIS",-38.2464901343925,-6.56240208741001,-58.1775768604815,50,4284.3828651492,TRUE
"SANTA HELENA",-38.6077743155189,-6.68715201053492,-59.9309615248356,47,5242.73017842773,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4730052355449,-6.6437435030537,-64.2492741111108,73,8619.32261348689,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4492446850059,-6.69594959032911,-55.5314199633747,76,3159.22406467099,TRUE
"CAJAZEIRAS",-38.5872228589147,-6.94627391817703,-61.215770489745,54,6078.5214726242,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4202218126744,-6.92781123032983,-66.4794624299185,72,11142.4976767873,TRUE
"SOUSA",-38.2304997795732,-6.85799813192061,-64.4336948287415,45,8804.28661504839,TRUE
"BOM JESUS",-38.6199177361564,-6.83019432684596,-57.6709832929245,41,4041.64901085985,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.2325323733972,-6.98391057227928,-64.0779406975025,43,8450.96816259039,TRUE
"UIRAÚNA",-38.411935826764,-6.59155911827184,-63.1985413315679,53,7637.2410337446,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.234473633464,-6.88973526019327,-65.3760431121458,41,9813.22115309594,TRUE
"SOUSA",-38.2412938731728,-6.73464523084185,-54.9304943108918,49,2948.04525655349,TRUE
"SOUSA",-38.3135163352132,-6.85384614722061,-58.6369556078027,63,4517.07405976068,TRUE
"SANTA HELENA",-38.630995497108,-6.76175101837798,-58.6862688292955,39,4542.7922078441,TRUE
"POÇO DE JOSÉ DE MOURA",-38.5245236104825,-6.62074149274922,-59.8542816740843,34,5196.6505601331,TRUE
"NAZAREZINHO",-38.4001661806838,-6.93993716003097,-65.0042907710573,68,9402.08058649913,TRUE
"CAJAZEIRAS",-38.5227140149805,-6.92264841604702,-58.2853153702637,47,4337.85668120543,TRUE
"SOUSA",-38.2982076153863,-6.69349740192483,-65.8589580290089,50,10374.2648746902,TRUE
"POÇO DE JOSÉ DE MOURA",-38.4556742545688,-6.60055317371807,-62.076938094083,28,6712.06781041402,TRUE
"CAJAZEIRAS",-38.5769029158406,-6.91492411439031,-53.4303714055968,50,2480.43585781096,TRUE
"CAJAZEIRAS",-38.6267321173805,-6.95735384142681,-61.8779429644833,41,6560.0413810748,TRUE
"SANTA HELENA",-38.6665170375496,-6.69741338540989,-57.4929521189349,40,3959.65216122146,TRUE
"VIEIRÓPOLIS",-38.2169639194622,-6.51872395529135,-57.9283953007325,46,4163.21841370623,TRUE
"SOUSA",-38.2932850091025,-6.74942353277657,-60.688220961324,51,5720.3220346029,TRUE
"CAJAZEIRAS",-38.5554478381533,-6.83225588852729,-60.4905643098938,45,5591.61995641207,TRUE
"CAJAZEIRAS",-38.5116124446509,-6.91331441773291,-59.0593545335748,47,4742.17042185868,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.433041339275,-6.80004374185301,-63.5078422801308,63,7914.10020317626,TRUE
"CAJAZEIRAS",-38.5744734591577,-7.00715950937665,-67.3524317421266,42,12320.5761641813,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4567354182951,-6.7305271997182,0,74,501.463119389671,TRUE
"CAJAZEIRAS",-38.6061604327993,-6.90300275900591,-58.9062497369542,46,4659.31333694776,TRUE
"SOUSA",-38.1998036038136,-6.80393585123311,-59.0890935541592,45,4758.43464033687,TRUE
"SOUSA",-38.3092496264731,-6.69347236797403,-66.5836729215169,52,11276.9869222136,TRUE
"CAJAZEIRAS",-38.4516905281931,-6.96400749709646,-68.0296826204236,49,13319.6729620768,TRUE
"POÇO DE JOSÉ DE MOURA",-38.5275573531404,-6.53889042130395,-58.5329642535742,26,4463.31607894892,TRUE
"TRIUNFO",-38.5989337108336,-6.5715976088839,-46.3311547074775,25,1095.38594986913,TRUE
"CAJAZEIRAS",-38.4921610914176,-6.80825365558922,-65.4387637244429,67,9884.33866065856,TRUE
"CAJAZEIRAS",-38.5325205066479,-6.90957075930856,-53.7009567159309,49,2558.92328686547,TRUE
"CAJAZEIRAS",-38.5675427644752,-6.93825712034668,-58.9140004125157,50,4663.47283523557,TRUE
"UIRAÚNA",-38.4292464368051,-6.5379541704031,-53.6385529732456,25,2540.60459584826,TRUE
"NAZAREZINHO",-38.2987082737969,-6.97017884024608,-62.8570988116741,58,7342.84517763663,TRUE
"POÇO DE JOSÉ DE MOURA",-38.4832086445536,-6.65424750701714,-63.7836417463423,54,8169.42552619961,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.658796466189,-6.93843114402334,-53.3618883249936,38,2460.95598889643,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4713113307958,-6.74230303478617,-53.7056937110125,72,2560.31921906018,TRUE
"MARIZÓPOLIS",-38.3553825198911,-6.87500784386139,-56.031132805154,62,3346.30922731691,TRUE
"NAZAREZINHO",-38.3171987853717,-6.91335793715625,0,65,772.983386498474,TRUE
