".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"ITAPORANGA",-38.2693226667403,-7.25835390136763,-56.5931421288453,32,3569.98619860693,TRUE
"DIAMANTE",-38.3820386116209,-7.35703764510526,-68.9225275569013,39,14761.6807474611,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6517311392168,-7.14729280610754,-65.8553012456166,35,10369.8981999417,TRUE
"SÃO JOSÉ DE CAIANA",-38.408332865271,-7.30211652481648,-66.0467433865487,36,10600.9942766442,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4895528442508,-7.17382570511381,-60.9363340760877,20,5886.07964826029,TRUE
"MONTE HOREBE",-38.5313946441097,-7.18449671407416,-62.2264436660674,28,6828.59906114461,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5390202493223,-7.03480812166072,-65.8063080265404,46,10311.5708954293,TRUE
"CAJAZEIRAS",-38.6163342429141,-6.87309961700066,-60.977225752217,41,5913.85563095715,TRUE
"CAJAZEIRAS",-38.4518503055956,-6.92747119270916,-66.7272302954832,52,11464.9178044669,TRUE
"BONITO DE SANTA FÉ",-38.4736925605035,-7.21862724601942,-66.1693826583004,20,10751.7352951395,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4251614374157,-7.12278284706826,-63.8383720495557,40,8221.06407648923,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5648290257018,-7.11883963066339,-62.5613589936468,48,7097.04208205015,TRUE
"AGUIAR",-38.2558109442985,-7.16813736331369,-65.9033089591806,33,10427.3722701592,TRUE
"SÃO JOSÉ DE CAIANA",-38.3069940140054,-7.18999159456416,-62.1703417752285,30,6784.63548486283,TRUE
"CAJAZEIRAS",-38.4440166899517,-6.91950482145603,-67.1662179729502,68,12059.2508540809,TRUE
"DIAMANTE",-38.3239828818992,-7.35873898273985,-65.4228490195511,35,9866.24468119945,TRUE
"ITAPORANGA",-38.3035150432775,-7.31268989799264,-62.2229822795991,32,6825.87835982786,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4098352607621,-7.10499327575508,-65.566114533978,49,10030.3285166567,TRUE
"CAJAZEIRAS",-38.4644073646564,-6.91269828080385,-65.271854934817,51,9696.21367495863,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4305881924743,-7.17160220087226,-63.9846454894551,20,8360.68199815081,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6035181952689,-7.17822506352513,-58.4384044870502,34,4414.98929683886,TRUE
"CAJAZEIRAS",-38.610559937712,-6.88540463456138,-59.8612636385003,47,5200.82945455815,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.7077948326992,-6.94482390761095,-57.8643075065132,36,4132.61365193313,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3707515666543,-6.88272219632472,-58.804505820867,65,4605.05394219108,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5481028131258,-7.13458782380166,-60.236100926013,48,5430.18314036869,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3728194156943,-6.91881861227284,-60.8250463553123,70,5811.14548657938,TRUE
"DIAMANTE",-38.2803121149123,-7.36694152203108,-62.191871380588,33,6801.47333473694,TRUE
"NAZAREZINHO",-38.3539050804034,-6.93002923069707,-58.3161534852103,70,4353.28504589991,TRUE
