".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"COREMAS",-37.8753904667402,-7.07825430136763,-65.4787167034762,18,9929.90893935999,TRUE
"PIANCÓ",-37.9881064116209,-7.17693804510526,-62.7971512174489,18,7292.34138473661,TRUE
"AGUIAR",-38.2094872692552,-7.08549549026538,-58.5772719346711,23,4486.14211614088,TRUE
"AGUIAR",-38.2363667904585,-7.08118822522119,-63.0323991393547,33,7492.54547779067,TRUE
"NAZAREZINHO",-38.2577989392168,-6.96719320610754,-65.2055628693591,40,9622.49234296475,TRUE
"COREMAS",-38.014400665271,-7.12201692481648,-67.7749672460253,21,12934.7426681581,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.0956206442508,-6.99372610511381,-64.9811310444414,41,9377.0446278063,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.1374624441097,-7.00439711407416,-62.6356038898785,44,7157.96590152301,TRUE
"SOUSA",-38.1450880493223,-6.85470852166072,-65.7623916701283,43,10259.5665804828,TRUE
"SOUSA",-38.2224020429141,-6.69300001700066,-62.6905055533888,54,7203.35317417165,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.2880462766345,-7.13023552301928,-67.2043321263747,29,12112.2837694916,TRUE
"ITAPORANGA",-38.214551201295,-7.18481941792306,-61.9464298601252,25,6611.97075066949,TRUE
"APARECIDA",-38.0579181055956,-6.74737159270916,-59.7170065758028,43,5115.16632127153,TRUE
"AGUIAR",-38.0797603605035,-7.03852764601942,-66.8527721562055,19,11631.8297912149,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.0312292374157,-6.94268324706826,-67.7126605132132,30,12842.2895150031,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.1708968257018,-6.93874003066339,0,44,989.430437820299,TRUE
"CAJAZEIRINHAS",-37.8618787442985,-6.98803776331369,-62.9404702611831,24,7413.6647614182,TRUE
"SOUSA",-38.3406857041129,-6.70051358934615,-67.3910885164396,50,12375.5314031172,TRUE
"COREMAS",-37.9130618140054,-7.00989199456416,-56.8252801303398,28,3666.68360965862,TRUE
"NAZAREZINHO",-38.29180297893,-6.94322472779203,-59.7017748678185,53,5106.20414832309,TRUE
"APARECIDA",-38.0500844899517,-6.73940522145603,-61.5552773111067,43,6320.81815605679,TRUE
"PIANCÓ",-37.9300506818992,-7.17863938273985,-52.5059742052831,19,2230.01683145175,TRUE
"CARRAPATEIRA",-38.2981772288632,-7.0292692082341,-60.1834778050385,35,5397.3840455827,TRUE
"PIANCÓ",-37.9095828432775,-7.13259029799264,-63.0208022186121,13,7482.5485195263,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.0159030607621,-6.92489367575508,-67.9274791635801,35,13163.8640629729,TRUE
"APARECIDA",-38.0704751646564,-6.73259868080385,-61.3330164813755,38,6161.128329762,TRUE
"COREMAS",-38.0366559924743,-6.99150260087226,-66.064799087284,17,10623.0539009464,TRUE
