".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"BARRA DE SANTA ROSA",-35.9679173667403,-6.84287730136763,-63.8392239941383,63,8221.87046878638,TRUE
"ALGODÃO DE JANDAÍRA",-36.0806333116209,-6.94156104510526,-64.3175583669366,57,8687.3506028009,TRUE
"CUBATI",-36.3020141692552,-6.85011849026538,-58.972269438254,29,4694.86277202141,TRUE
"CUBATI",-36.3288936904585,-6.84581122522119,-55.5730835402066,29,3174.41430619666,TRUE
"NOVA PALMEIRA",-36.3503258392168,-6.73181620610754,-65.1989900869612,24,9615.21356934278,TRUE
"BARRA DE SANTA ROSA",-36.106927565271,-6.88663992481648,-66.0310502026584,39,10581.8582799924,TRUE
"SOSSÊGO",-36.1881475442508,-6.75834910511381,-62.8946446442895,25,7374.65423416639,TRUE
"SOSSÊGO",-36.2299893441097,-6.76902011407416,-54.0189652262818,29,2654.34696897552,TRUE
"CUITÉ",-36.2376149493223,-6.61933152166072,-55.7060764600384,58,3223.39296482787,TRUE
"PICUÍ",-36.3149289429141,-6.45762301700066,-52.1252064218426,52,2134.37021537823,TRUE
"SERIDÓ",-36.3805731766345,-6.89485852301928,-58.9875558906572,30,4703.13261990974,TRUE
"OLIVEDOS",-36.307078101295,-6.94944241792306,-63.3795899254489,26,7798.10227790782,TRUE
"CUITÉ",-36.1504450055956,-6.51199459270916,-54.6801404101396,60,2864.28646797159,TRUE
"BARRA DE SANTA ROSA",-36.1722872605035,-6.80315064601942,-65.3560561551765,25,9790.66607273865,TRUE
"BARRA DE SANTA ROSA",-36.1237561374157,-6.70730624706826,-63.4213429982242,41,7835.67799760058,TRUE
"PEDRA LAVRADA",-36.2634237257018,-6.70336303066339,-62.1082939860783,53,6736.34203252395,TRUE
"BARRA DE SANTA ROSA",-35.9544056442985,-6.75266076331369,-66.7961780064826,37,11556.2873204022,TRUE
"FREI MARTINHO",-36.4332126041129,-6.46513658934615,-62.5180322763244,61,7061.72895788799,TRUE
"BARRA DE SANTA ROSA",-36.0055887140054,-6.77451499456416,-63.4943213492488,32,7901.79026558816,TRUE
"NOVA PALMEIRA",-36.38432987893,-6.70784772779203,-59.5497391008303,26,5017.6040331382,TRUE
"CUITÉ",-36.1426113899517,-6.50402822145603,-52.4858330119508,60,2224.85176873048,TRUE
"ALGODÃO DE JANDAÍRA",-36.0225775818992,-6.94326238273985,-58.8972581283166,68,4654.49252450117,TRUE
"PEDRA LAVRADA",-36.3907041288632,-6.7938922082341,-64.5093140919169,20,8881.27126859143,TRUE
"ALGODÃO DE JANDAÍRA",-36.0021097432775,-6.89721329799264,-47.7010925606209,64,1282.51974127298,TRUE
"BARRA DE SANTA ROSA",-36.1084299607621,-6.68951667575508,-62.4184487529449,39,6981.22874736784,TRUE
"CUITÉ",-36.1630020646564,-6.49722168080385,-46.2431027781122,58,1084.33773029174,TRUE
"BARRA DE SANTA ROSA",-36.1291828924743,-6.75612560087226,-64.6844786092378,34,9062.19412561738,TRUE
"PEDRA LAVRADA",-36.3021128952689,-6.76274846352513,-60.1289301900714,32,5363.59454260722,TRUE
"PICUÍ",-36.309154637712,-6.46992803456138,-46.8996331369088,52,1169.47539119984,TRUE
"PICUÍ",-36.4063895326992,-6.52934730761095,-61.5261993143596,58,6299.69315565823,TRUE
"CUBATI",-36.3496447300724,-6.85337374392308,-47.9320448671563,29,1317.07854150474,TRUE
"CUITÉ",-36.0693462666543,-6.46724559632472,-64.3792786761793,68,8749.30113717864,TRUE
"SOSSÊGO",-36.2466975131258,-6.71911122380167,-60.4661632757476,53,5575.93361407156,TRUE
"CUITÉ",-36.0714141156943,-6.50334201227284,-64.2063155154418,51,8576.79848881561,TRUE
"POCINHOS",-35.9789068149123,-6.95146492203108,-61.896258909428,102,6573.88914274721,TRUE
"CUITÉ",-36.0524997804034,-6.51455263069707,-66.3128487279046,51,10930.7979609086,TRUE
"CUITÉ",-36.0942295320285,-6.54732878504197,-64.6835588298519,57,9061.23454883389,TRUE
"PICUÍ",-36.4119001902593,-6.4826931265217,-62.5454280301712,76,7084.0371854916,TRUE
"BARRA DE SANTA ROSA",-35.977374363779,-6.83386271817486,-64.1439298865311,63,8515.41709444385,TRUE
"PICUÍ",-36.3387310129776,-6.57617526487789,-63.1852466863651,52,7625.56039430364,TRUE
"CUITÉ",-36.1486870029196,-6.47340775314129,-47.3201323359416,60,1227.4845868024,TRUE
"PICUÍ",-36.4188235186459,-6.59300417625687,-65.2134293513366,36,9631.21101810623,TRUE
"NOVA PALMEIRA",-36.435547956936,-6.66752421260222,-52.3527666420106,36,2191.02716856881,TRUE
"CUBATI",-36.2835403701476,-6.86424359234858,-60.283623232144,37,5459.97422237668,TRUE
"PEDRA LAVRADA",-36.3433562735747,-6.75628929268911,-65.5205574681087,24,9977.85765852435,TRUE
"BARRA DE SANTA ROSA",-36.2416350495489,-6.85322760800242,-65.0157277147663,40,9414.46871212584,TRUE
"PICUÍ",-36.2934760906221,-6.54223472751088,-62.8008898992532,48,7295.4809148957,TRUE
"DAMIÃO",-35.9757244161749,-6.61444516117095,-63.4271684502581,47,7840.93499241686,TRUE
"BARRA DE SANTA ROSA",-36.138044755063,-6.83165267468772,-68.8094206138736,32,14570.7015072403,TRUE
"PICUÍ",-36.2548707051621,-6.45550764175474,-60.5689105340721,50,5642.28419707521,TRUE
"DAMIÃO",-35.9578727978235,-6.6855257910012,-63.8827470988141,36,8263.17186402242,TRUE
"DAMIÃO",-35.9842062376858,-6.65965440762571,-64.7486189977012,49,9129.36099964831,TRUE
"CUITÉ",-35.9547085745446,-6.50519072146031,-57.4958112341192,58,3960.95576575318,TRUE
"BARRA DE SANTA ROSA",-36.043539258507,-6.83373548216528,-63.9559536352434,49,8333.10995720572,TRUE
"CUITÉ",-36.0015391343925,-6.49805868741001,-62.5051024070163,71,7051.22464459721,TRUE
"NOVA PALMEIRA",-36.3628233155189,-6.62280861053492,-64.5924471046758,53,8966.68237171624,TRUE
"CUITÉ",-36.2280542355449,-6.5794001030537,-63.1873038715596,54,7627.36666268116,TRUE
"CUITÉ",-36.2042936850059,-6.63160619032911,-60.6460798787923,54,5692.63612743279,TRUE
"CUBATI",-36.3422718589147,-6.88193051817703,-48.6004692839628,29,1422.43652312063,TRUE
"BARRA DE SANTA ROSA",-36.1752708126744,-6.86346783032983,-68.2086700802772,36,13596.9949022848,TRUE
"BARRA DE SANTA ROSA",-35.9855487795733,-6.79365473192061,-66.3378883898522,51,10962.3547032155,TRUE
"PEDRA LAVRADA",-36.3749667361565,-6.76585092684596,-65.2683283260213,26,9692.27765769504,TRUE
"ALGODÃO DE JANDAÍRA",-35.9875813733972,-6.91956717227928,-56.024891923696,76,3343.90574082973,TRUE
"CUITÉ",-36.1669848267641,-6.52721571827184,-58.4684986878488,57,4430.31254146032,TRUE
"BARRA DE SANTA ROSA",-35.989522633464,-6.82539186019327,-64.5145176191844,65,8886.59343877647,TRUE
"DAMIÃO",-35.9963428731728,-6.67030183084185,-64.2562690673467,47,8626.26675746173,TRUE
"BARRA DE SANTA ROSA",-36.0685653352132,-6.78950274722061,-63.1417170817681,27,7587.44026240404,TRUE
"NOVA PALMEIRA",-36.386044497108,-6.69740761837798,-58.0806521483361,26,4236.83975134851,TRUE
"PICUÍ",-36.2795726104825,-6.55639809274922,-65.0366670304693,48,9437.19181226423,TRUE
"BARRA DE SANTA ROSA",-36.1552151806838,-6.87559376003097,-69.6495320892445,36,16050.40646864,TRUE
"CUBATI",-36.2777630149806,-6.85830501604702,-61.5371440929357,40,6307.63617678054,TRUE
"CUITÉ",-36.0532566153863,-6.62915400192484,-65.8027902076396,52,10307.3955149108,TRUE
"CUITÉ",-36.2107232545688,-6.53620977371807,-63.2181448394075,57,7654.49727329096,TRUE
"CUBATI",-36.3319519158406,-6.85058071439031,-53.7491558291788,29,2573.16255089331,TRUE
"SERIDÓ",-36.3817811173806,-6.89301044142681,-58.9132374889617,30,4663.06323792664,TRUE
"PICUÍ",-36.4215660375496,-6.63306998540989,-59.8619746017535,34,5201.2551737551,TRUE
"BARRA DE SANTA ROSA",-36.0483340091025,-6.68508013277657,-57.9584575381085,49,4177.65245559146,TRUE
"PEDRA LAVRADA",-36.3104968381533,-6.76791248852729,-61.4529845307326,32,6246.8151838678,TRUE
"CUBATI",-36.2666614446509,-6.84897101773291,-63.4570859379529,40,7867.98870172397,TRUE
"SOSSÊGO",-36.188090339275,-6.73570034185301,-63.7780886440791,40,8164.20428132191,TRUE
"SERIDÓ",-36.3295224591577,-6.94281610937665,-62.0147685696278,26,6664.19749789365,TRUE
"SOSSÊGO",-36.2117844182951,-6.6661837997182,-60.1323112768974,57,5365.68279259106,TRUE
"CUBATI",-36.3612094327993,-6.83865935900591,-55.6261402540849,29,3193.86417793827,TRUE
"BARRA DE SANTA ROSA",-35.9548526038136,-6.73959245123311,-66.5041738245792,35,11174.2432690098,TRUE
"CUITÉ",-36.0642986264731,-6.62912896797403,-65.8520533958283,46,10366.0213862785,TRUE
"BARRA DE SANTA ROSA",-36.2067395281931,-6.89966409709647,-66.4050245768032,47,11047.4147663118,TRUE
"PICUÍ",-36.2826063531404,-6.47454702130395,-57.2141321263191,52,3834.56440932362,TRUE
"PICUÍ",-36.3539827108336,-6.5072542088839,0,48,167.322563197282,TRUE
"SOSSÊGO",-36.2472100914176,-6.74391025558922,-54.7107808608644,35,2874.40840264911,TRUE
"CUBATI",-36.287569506648,-6.84522735930856,-61.3870841201062,37,6199.59953065722,TRUE
"CUBATI",-36.3225917644752,-6.87391372034668,-47.2497712258532,29,1217.58136324673,TRUE
"NOVA FLORESTA",-36.1842954368051,-6.4736107704031,-53.972127737436,50,2640.07228255357,TRUE
"ALGODÃO DE JANDAÍRA",-36.0537572737969,-6.90583544024608,-58.7508004503302,65,4576.66846565015,TRUE
"PICUÍ",-36.2382576445536,-6.58990410701714,-61.3190440574611,54,6151.22529194681,TRUE
"SERIDÓ",-36.413845466189,-6.87408774402335,-62.3407355599557,30,6919.04585294775,TRUE
"SOSSÊGO",-36.2263603307958,-6.67795963478617,-59.4340487959181,57,4951.21597019114,TRUE
"BARRA DE SANTA ROSA",-36.1104315198911,-6.81066444386139,-66.7985123869888,26,11559.3935534274,TRUE
"BARRA DE SANTA ROSA",-36.0722477853717,-6.84901453715625,-64.4873688279165,39,8858.86068727499,TRUE
