".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"CONGO",-36.6490038667403,-7.80959440136762,-50.1453612058094,38,1699.32908627664,TRUE
"CAMALAÚ",-36.7617198116209,-7.90827814510526,-62.4768469969899,27,7028.32410770689,TRUE
"MONTEIRO",-36.9831006692552,-7.81683559026538,-69.5503060211299,60,15868.092804084,TRUE
"MONTEIRO",-37.0099801904585,-7.81252832522119,-68.0330549738656,60,13324.8454162456,TRUE
"PRATA",-37.0314123392168,-7.69853330610754,-60.7004246642172,60,5728.36475417024,TRUE
"CAMALAÚ",-36.788014065271,-7.85335702481648,-60.3876688846007,27,5525.77089946873,TRUE
"SUMÉ",-36.8692340442508,-7.72506620511381,-61.3958631060304,33,6205.86874582393,TRUE
"SUMÉ",-36.9110758441097,-7.73573721407415,-63.5425375726409,60,7945.7758478164,TRUE
"SUMÉ",-36.9187014493223,-7.58604862166071,-65.6986167923857,41,10184.5130811914,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.9960154429141,-7.42434011700066,-63.3825551569263,43,7800.76488665641,TRUE
"MONTEIRO",-37.0616596766345,-7.86157562301928,-61.4818667084132,45,6267.62156454757,TRUE
"MONTEIRO",-36.988164601295,-7.91615951792305,-68.8885820873468,42,14704.1029613968,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8315315055956,-7.47871169270916,-65.4996973667101,41,9953.92350821403,TRUE
"SUMÉ",-36.8533737605035,-7.76986774601942,-66.7079165611843,30,11439.4530122347,TRUE
"SUMÉ",-36.8048426374157,-7.67402334706826,-62.6960803466519,34,7207.97792719783,TRUE
"SUMÉ",-36.9445102257018,-7.67008013066338,-62.3972407763858,42,6964.20376367638,TRUE
"CONGO",-36.6354921442985,-7.71937786331369,-64.8169692164896,39,9201.48434433321,TRUE
"CONGO",-36.6866752140054,-7.74123209456416,-62.4666597958751,37,7020.0858058926,TRUE
"PRATA",-37.06541637893,-7.67456482779203,-55.2061486817353,69,3043.10448978097,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8236978899517,-7.47074532145603,-64.5257807496345,45,8898.12429952787,TRUE
"CAMALAÚ",-36.7036640818992,-7.90997948273985,-67.9471852908139,18,13193.7635068597,TRUE
"MONTEIRO",-37.0717906288632,-7.7606093082341,-62.8119124939938,57,7304.74492570349,TRUE
"CAMALAÚ",-36.6831962432775,-7.86393039799264,-63.1932162116663,20,7632.56025125955,TRUE
"SUMÉ",-36.7895164607621,-7.65623377575507,-64.512987707769,36,8885.02831372583,TRUE
"SÃO JOSÉ DOS CORDEIROS",-36.8440885646564,-7.46393878080385,-64.542753101999,43,8915.52835980442,TRUE
"SUMÉ",-36.8102693924743,-7.72284270087225,-64.761160698876,26,9142.55255799555,TRUE
