"lon","lat","Ruído","N..Estações","Distância.min","mun"
-38.4835515232,-7.7328573668,-100,0,100,"SANTA INÊS"
-38.6620248372,-7.0590347137,-71.1584638023,3,19095.5697491162,"SÃO JOSÉ DE PIRANHAS"
-38.6068950616,-6.6942370825,-70.0744090872,4,16855.0437861144,"SANTA HELENA"
-38.598200766,-7.4874881548,-100,0,100,"CONCEIÇÃO"
-38.5797713477,-7.57615115,-100,0,100,"CONCEIÇÃO"
-38.5526186902,-7.6950974437,-100,0,100,"SANTA INÊS"
-38.5628013729,-7.5330946055,-70.6045314717,2,17915.7916945757,"CONCEIÇÃO"
-38.6212351599,-6.6894120341,-70.4043424517,4,17507.597487007,"SANTA HELENA"
-38.618870627,-6.7138582721,-70.599797393,6,17906.029694159,"SANTA HELENA"
-37.2381506553,-6.1091305935,-70.1560228819,1,17014.1624385657,"BELÉM DO BREJO DO CRUZ"
-38.6794764111,-7.0055175951,-70.4175367523,10,17534.2126126487,"CACHOEIRA DOS ÍNDIOS"
-38.5714364613,-7.6503049958,-100,0,100,"SANTA INÊS"
-38.5678230524,-7.5688124706,-71.4271948477,2,19695.5980749614,"CONCEIÇÃO"
-38.6684944537,-6.7052586964,-100,0,100,"SANTA HELENA"
-37.6741907919,-7.359483022,-70.2821470339,3,17263.0203466113,"IMACULADA"
-38.3068140817,-7.7557026136,-70.6536024723,3,18017.2935459986,"MANAÍRA"
-38.4693538564,-7.6784298503,-100,0,100,"CONCEIÇÃO"
-38.5891402829,-7.4930204523,-100,0,100,"CONCEIÇÃO"
-37.1765946599,-6.151971066,-100,0,100,"BELÉM DO BREJO DO CRUZ"
-38.5768620799,-7.5265115044,-71.2483912426,2,19294.2984857569,"CONCEIÇÃO"
-38.6761247289,-7.0039937404,-70.2252395253,10,17150.2875873716,"CACHOEIRA DOS ÍNDIOS"
-38.4862202852,-7.6562057009,-71.4712958778,2,19795.8532021615,"SANTA INÊS"
-37.7205992665,-7.3803200259,-70.456398805,2,17612.8392334468,"IMACULADA"
-36.9718263946,-7.8144224725,-70.2143484563,11,17128.7966499488,"SUMÉ"
-38.6329436952,-7.4621699692,-100,0,100,"CONCEIÇÃO"
-38.6247502871,-6.7098886355,-70.9231460396,4,18585.1783327066,"SANTA HELENA"
-36.8992495743,-8.0519584737,-71.4971318633,6,19854.8231860432,"SÃO SEBASTIÃO DO UMBUZEIRO"
-37.0120476005,-8.0953665558,-73.5632462598,14,25186.7275129897,"SÃO SEBASTIÃO DO UMBUZEIRO"
-35.9425299923,-7.642390081,-73.2092243158,5,24180.7989699123,"BARRA DE SANTANA"
-36.8973728205,-8.0497093571,-71.359125806,6,19541.8520528879,"SÃO SEBASTIÃO DO UMBUZEIRO"
-36.6857416502,-8.0469806507,-72.3336985974,10,21862.225048058,"SÃO JOÃO DO TIGRE"
-35.9900924455,-7.6492524818,-71.0709670895,5,18904.1774456193,"ALCANTIL"
-37.0539048926,-8.0921853434,-72.7864088998,14,23031.9058042999,"ZABELÊ"
-36.7275983935,-8.1623870072,-100,0,100,"SÃO JOÃO DO TIGRE"
-36.6816983773,-8.1274430838,-73.6736345732,6,25508.8664081688,"SÃO JOÃO DO TIGRE"
-35.9825552285,-7.2537172139,-70.4461101586,8,17591.9887507131,"CAMPINA GRANDE"
-35.9222173549,-7.5656450854,-71.3630756425,5,19550.7405694604,"BARRA DE SANTANA"
-36.8198740096,-8.1788296791,-100,0,100,"SÃO JOÃO DO TIGRE"
-36.8780452484,-8.1104098575,-73.5624525732,2,25184.4261418176,"SÃO JOÃO DO TIGRE"
-37.2733902002,-7.9527263805,-70.3549611537,20,17408.3451366989,"MONTEIRO"
-35.9237152478,-7.6283365356,-73.6848418163,5,25541.8012709457,"BARRA DE SANTANA"
-35.9908724335,-7.7225541706,-70.8869323376,1,18507.8532627789,"ALCANTIL"
-36.6551268446,-8.1112190255,-72.423672021,6,22089.8634757112,"SÃO JOÃO DO TIGRE"
-36.9167252899,-8.0322962283,-71.0674418084,16,18896.5064966891,"SÃO SEBASTIÃO DO UMBUZEIRO"
-36.699068221,-8.0233972033,-71.6125044422,10,20120.3093084463,"SÃO JOÃO DO TIGRE"
-36.9076743493,-8.0960698829,-73.3921974961,2,24695.584268571,"SÃO JOÃO DO TIGRE"
-35.9991548781,-7.8034734016,-72.0704882252,1,21209.6666089286,"SANTA CECÍLIA"
-35.9293569154,-7.6450972765,-73.6824476142,5,25534.7618300704,"BARRA DE SANTANA"
-36.8742460116,-8.1686764213,-100,0,100,"SÃO JOÃO DO TIGRE"
-36.8570096883,-8.043561775,-70.378474301,2,17455.5342597216,"SÃO JOÃO DO TIGRE"
-36.6983382547,-8.0188896754,-71.4783407947,10,19811.9156571303,"SÃO JOÃO DO TIGRE"
-36.9986935253,-8.1242982289,-74.6983819987,12,28703.0819300653,"SÃO SEBASTIÃO DO UMBUZEIRO"
-36.7555342265,-8.1437274446,-74.8094883369,2,29072.5982952441,"SÃO JOÃO DO TIGRE"
-36.7718888283,-8.0978650672,-73.0395562342,2,23713.0404661392,"SÃO JOÃO DO TIGRE"
-36.9728342139,-8.196279828,-100,0,100,"SÃO SEBASTIÃO DO UMBUZEIRO"
-36.7069526262,-8.0588993116,-72.6459835249,10,22662.5412163407,"SÃO JOÃO DO TIGRE"
-36.9588347065,-8.1129157276,-74.7621749733,6,28914.6659564837,"SÃO SEBASTIÃO DO UMBUZEIRO"
-35.9236226112,-7.6928136791,-73.7129758257,1,25624.6665090077,"SANTA CECÍLIA"
-35.9678956124,-7.226868745,-70.2789514114,6,17256.6702832566,"CAMPINA GRANDE"
-37.0095793338,-8.0123302567,-70.5562452112,16,17816.4712457742,"MONTEIRO"
-35.9609844522,-7.6791513898,-72.2098968387,5,21552.8284742416,"SANTA CECÍLIA"
-36.9695168891,-8.0894200453,-74.2265189647,16,27185.3781817679,"SÃO SEBASTIÃO DO UMBUZEIRO"
-36.7831304922,-8.1102748071,-73.4294256534,2,24801.6579337074,"SÃO JOÃO DO TIGRE"
-35.9112445852,-7.7218565953,-74.2265091282,1,27185.3473952666,"SANTA CECÍLIA"
-37.1163023068,-8.0704937629,-71.3221897953,14,19458.9284183596,"ZABELÊ"
-36.7927285039,-8.1138660435,-73.5096063286,2,25031.6655272557,"SÃO JOÃO DO TIGRE"
-36.95098701,-8.0329573853,-72.0917303309,16,21261.6001890922,"MONTEIRO"
-35.9390559394,-7.6265062637,-73.3914503839,5,24693.4601822528,"BARRA DE SANTANA"
-36.8117188666,-8.1693149954,-100,0,100,"SÃO JOÃO DO TIGRE"
