".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"CAJAZEIRAS",-38.5282451431272,-6.87939650288972,-54.9857532593069,49,2966.86027556056,TRUE
"CAJAZEIRAS",-38.543645848055,-7.01776224354471,-67.2957016141279,46,12240.3690311363,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3948050487093,-6.7627172135115,-62.3811291713128,67,6951.29771666785,TRUE
"CAJAZEIRAS",-38.5920266185427,-7.01099744581807,-67.854716087426,42,13054.0488960483,TRUE
"NAZAREZINHO",-38.3305907781474,-6.98567651168633,-61.0830912648048,71,5986.37603949222,TRUE
"VIEIRÓPOLIS",-38.236290407484,-6.54059678726553,-58.9116106402189,45,4662.18993783915,TRUE
"CAJAZEIRAS",-38.4668146740883,-6.97477345439329,-67.6736242671908,50,12784.7030187863,TRUE
"CAJAZEIRAS",-38.6045907150261,-6.87303389541994,-58.8735651389923,47,4641.81350415326,TRUE
"NAZAREZINHO",-38.3491181141004,-6.95641329934079,-61.3723475817923,73,6189.09016637827,TRUE
"NAZAREZINHO",-38.3324591912102,-6.93046493866205,-54.4527673229535,70,2790.28006851164,TRUE
"SOUSA",-38.2285385031724,-6.79764626410979,-54.0737389786781,47,2671.13833167768,TRUE
"UIRAÚNA",-38.3490685514412,-6.56442991321164,-63.8596029036144,51,8241.18333962288,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.3979457544634,-6.59250046653397,-63.4937363799465,52,7901.25812100829,TRUE
"TRIUNFO",-38.6143951994605,-6.65102765362899,-63.4901442638233,45,7897.99117083557,TRUE
"SOUSA",-38.1962286746135,-6.73117853925287,-58.6746476598435,52,4536.71830414181,TRUE
"SOUSA",-38.2439794392563,-6.77713863205354,0,45,477.76781411781,TRUE
"CAJAZEIRAS",-38.4382656473905,-6.85271590275879,-65.0086942712359,63,9406.8483836826,TRUE
"NAZAREZINHO",-38.2581895969348,-6.93919127553891,-63.384845060844,40,7802.82171188466,TRUE
"SOUSA",-38.2711181425262,-6.77795437330569,-51.8640789855145,47,2071.1587120946,TRUE
"NAZAREZINHO",-38.2928067086037,-6.9161651026523,-55.8955767521552,59,3294.4905665031,TRUE
"SOUSA",-38.2333833590388,-6.67783770620081,-64.5128478981498,50,8884.88529988622,TRUE
"SOUSA",-38.2192027451243,-6.83612738599259,-62.4424330353581,47,7000.53260187971,TRUE
"MARIZÓPOLIS",-38.3305328745633,-6.84284720828946,-53.6054235611103,63,2530.93276861941,TRUE
"NAZAREZINHO",-38.3565259953035,-6.98702717808265,-60.6440165142518,70,5691.28398171408,TRUE
"MARIZÓPOLIS",-38.309059775435,-6.77651252472497,-61.4599310915018,57,6251.8130873531,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4706718536332,-7.00991411102659,-67.4828683304217,44,12506.9912852217,TRUE
