".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"MONTE HOREBE",-38.5846994431272,-7.23052970288972,-50.8107613810207,34,1834.6258132905,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.4512593487093,-7.1138504135115,-60.1275237738958,42,5362.72614158494,TRUE
"DIAMANTE",-38.3870450781474,-7.33680971168633,-68.1090344733133,37,13441.9152961045,TRUE
"SOUSA",-38.292744707484,-6.89172998726553,-56.7412678332806,63,3631.38940700128,TRUE
"BONITO DE SANTA FÉ",-38.5232689740883,-7.32590665439329,-52.8847660089038,37,2329.41963112825,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.739762605685,-6.92880501357558,-62.4760205437124,36,7027.65540186272,TRUE
"SÃO JOSÉ DE CAIANA",-38.4055724141004,-7.30754649934079,-66.3941533438071,37,11033.596504914,TRUE
"SÃO JOSÉ DE CAIANA",-38.3889134912102,-7.28159813866205,-63.2846682060106,35,7713.34649601913,TRUE
"AGUIAR",-38.2849928031724,-7.14877946410979,-66.7097930206893,29,11441.9246058274,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.4055228514413,-6.91556311321165,-64.9425445085463,72,9335.48007031414,TRUE
"CAJAZEIRAS",-38.4544000544634,-6.94363366653397,-67.0483399399968,46,11896.6977434983,TRUE
"CACHOEIRA DOS ÍNDIOS",-38.6708494994605,-7.00216085362899,-64.2209655383073,42,8591.27671990187,TRUE
"AGUIAR",-38.2526829746135,-7.08231173925287,-64.8668291982328,33,9254.45590830272,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.3004337392563,-7.12827183205354,-66.562343704286,29,11249.3289353567,TRUE
"MONTE HOREBE",-38.4947199473905,-7.20384910275879,-64.7215620612071,20,9100.96687738049,TRUE
"SÃO JOSÉ DE CAIANA",-38.3146438969348,-7.29032447553891,-58.8076375070521,36,4606.71458774009,TRUE
"AGUIAR",-38.3275724425262,-7.12908757330569,-65.8316371762353,32,10341.6846230842,TRUE
"SÃO JOSÉ DE CAIANA",-38.3492610086037,-7.26729830265231,-60.5738134161364,37,5645.46996895835,TRUE
"AGUIAR",-38.2898376590388,-7.02897090620081,-61.5437371827223,37,6312.42585299951,TRUE
"ITAPORANGA",-38.2756570451243,-7.18726058599259,-63.1325232260351,34,7579.4133442198,TRUE
"SERRA GRANDE",-38.3869871745633,-7.19398040828946,-55.3185623210914,31,3082.74460772277,TRUE
"BONITO DE SANTA FÉ",-38.4129802953035,-7.33816037808265,-66.749163805225,35,11493.9054687892,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.365514075435,-7.12764572472497,-65.2340591331947,29,9654.11321128776,TRUE
"BONITO DE SANTA FÉ",-38.5271261536332,-7.36104731102659,-61.2573722584863,42,6107.70487364904,TRUE
"BONITO DE SANTA FÉ",-38.5151560856544,-7.30661297232564,0,37,317.513373218531,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.6223628154772,-7.17007987880333,-61.5539120894823,34,6319.82474722244,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.5991493424449,-7.116695786749,-66.2561528949441,49,10859.6811823913,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.580318097193,-7.16326479734107,-60.5645739418414,46,5639.4678846738,TRUE
