".","lon","lat","Ruído","N..Estações","Distância.min","optional"
"PIANCÓ",-37.8689531673164,-7.15437454209786,-63.2063065899086,12,7644.07184436531,TRUE
"SOUSA",-38.2468007986619,-6.78016740063794,0,45,673.154921925277,TRUE
"APARECIDA",-38.0951951492763,-6.71774413381826,-63.4201184150946,40,7834.57335972141,TRUE
"COREMAS",-37.9414780881208,-7.05436406183179,-56.9776324352359,19,3731.56535650049,TRUE
"PIANCÓ",-37.8733939958922,-7.10438093837474,-67.0395093067675,12,11884.6089427121,TRUE
"PIANCÓ",-38.0395094392308,-7.17210718876339,-67.6707378591307,21,12780.4552398454,TRUE
"AGUIAR",-38.210119521683,-7.09966249790631,-58.6558180251628,23,4526.89406908067,TRUE
"MARIZÓPOLIS",-38.3301451242016,-6.86822231722653,-56.7877998154962,63,3650.8956615703,TRUE
"IGARACY",-38.0841350643615,-7.17761612826616,-63.4012656104003,24,7817.58678639819,TRUE
"ITAPORANGA",-38.2194616938661,-7.18489258669905,-62.631170326066,25,7154.31317256578,TRUE
"COREMAS",-37.9629593748552,-6.99270640142385,-56.8169328206001,20,3663.16154768726,TRUE
"SÃO JOÃO DO RIO DO PEIXE",-38.354022905901,-6.78211472035509,-62.3483629268405,70,6925.12436436557,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.1536912290332,-7.00093077231321,-61.3800160078182,42,6194.55668032004,TRUE
"COREMAS",-38.0172540245996,-6.9986489081395,-63.9644060652042,17,8341.22303637904,TRUE
"COREMAS",-38.0306607682443,-7.05659581118852,-65.7688335860151,18,10267.1784408855,TRUE
"COREMAS",-38.0073149458923,-6.96938784179401,-64.5385465511524,17,8911.21164097068,TRUE
"NAZAREZINHO",-38.2948723102174,-6.96025142437901,-61.8008399160302,58,6502.06679308369,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.1689043641974,-6.9187012263912,-55.2312166281826,44,3051.89973931358,TRUE
"POMBAL",-37.8876859342865,-6.85621508505318,-62.9470511827263,19,7419.28390181745,TRUE
"AGUIAR",-38.280332482159,-7.13270553123329,-67.6905652149478,29,12809.6626194588,TRUE
"AGUIAR",-38.090904773767,-7.07987141624216,-64.453241257427,23,8824.12179006638,TRUE
"SOUSA",-38.2780918517102,-6.79513682626311,-55.5904546661177,47,3180.76924861031,TRUE
"IGARACY",-38.20601827241,-7.14012848018792,-61.8708099941886,23,6554.65639759469,TRUE
"APARECIDA",-38.0777952385553,-6.83413976690389,-59.864635281758,37,5202.84867724285,TRUE
"AGUIAR",-38.2054712421679,-7.08014347838361,-58.0413534533237,25,4217.71376844374,TRUE
"AGUIAR",-38.2738801733077,-7.05508320351254,-63.8567004576418,27,8238.42995518072,TRUE
"POMBAL",-37.9692303688218,-6.93667102410581,-65.2353036330855,25,9655.49653574748,TRUE
"COREMAS",-38.0255908883129,-7.09476153660689,-67.2004842437189,20,12106.9191693594,TRUE
"NAZAREZINHO",-38.296189128044,-6.9693403374742,-62.873430827847,58,7356.66486537328,TRUE
"APARECIDA",-38.0622555651654,-6.854145352064,-63.2656111500471,40,7696.44177514976,TRUE
"AGUIAR",-38.3115718866185,-7.06861338441849,-59.7903083813724,27,5158.51680607981,TRUE
"SOUSA",-38.2669333523092,-6.74242255211465,-58.3073154766275,51,4348.85777307632,TRUE
"SOUSA",-38.1474784251488,-6.74767680655822,-64.1437269993336,44,8515.21819150988,TRUE
"SOUSA",-38.1820077890017,-6.78202337274451,-59.1986144683935,44,4818.81389695581,TRUE
"APARECIDA",-38.1232746856705,-6.87242269589223,-65.0130117349739,43,9411.52537406703,TRUE
"SOUSA",-38.1977374378777,-6.71851122766856,-60.2703829067003,50,5451.65765750789,TRUE
"APARECIDA",-38.0547379195643,-6.84209928781383,-62.119907393554,41,6745.35483503388,TRUE
"APARECIDA",-38.1141678547439,-6.7672038805078,-58.1005797406558,43,4246.57127507877,TRUE
"POMBAL",-37.9125691860401,-6.99673276991706,-58.4263065221225,26,4408.8442491835,TRUE
"COREMAS",-37.9534517776639,-6.99349002683192,-55.4658030453728,25,3135.44785841381,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.1399892401834,-6.89481408501632,-61.6003729642267,43,6353.72009935546,TRUE
"NAZAREZINHO",-38.3137248127906,-6.92381624508306,-51.4140814093207,68,1966.5885270057,TRUE
"POMBAL",-37.9779639658238,-6.70023705452803,-68.1727555245089,34,13540.8899015748,TRUE
"AGUIAR",-38.1829780800919,-7.09023020233616,-49.1329418704138,25,1512.36467305087,TRUE
"APARECIDA",-38.0252807165681,-6.76694200633682,-61.9257727256546,44,6596.26457801061,TRUE
"PIANCÓ",-37.9814892519218,-7.14154104053631,-64.4310664953394,23,8801.62285799433,TRUE
"NAZAREZINHO",-38.317304606405,-6.99847949835129,-60.1461517096132,67,5374.2394946983,TRUE
"PIANCÓ",-37.874303495949,-7.16611293939531,-61.563257396153,12,6326.62802086147,TRUE
"AGUIAR",-38.3070208982983,-7.11274308051106,-64.9923655308537,29,9389.18091350912,TRUE
"APARECIDA",-38.0372255493141,-6.80169590659097,-59.7551375983474,44,5137.67124412773,TRUE
"CAJAZEIRINHAS",-37.8955776306986,-6.99176178037778,-61.4946599025636,21,6276.85976367416,TRUE
"AGUIAR",-38.2799118729028,-7.0082984546072,-63.619762346103,51,8016.7353720663,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.1488551877857,-6.97850997772656,-57.6573495466407,44,4035.31004085013,TRUE
"AGUIAR",-38.2696924340864,-7.02804923782714,-64.1605266334581,43,8531.70366235699,TRUE
"CAJAZEIRINHAS",-37.863691125852,-6.91297458464868,-64.4276121799705,22,8798.12321230041,TRUE
"POMBAL",-37.9050541300977,-6.70342227086548,-67.1734261088834,22,12069.262585867,TRUE
"NAZAREZINHO",-38.3387663237237,-6.91007484045003,-51.2725147060311,70,1934.79593387422,TRUE
"CAJAZEIRINHAS",-37.8595255671254,-6.90198254285969,-64.8660366398001,22,9253.61150862095,TRUE
"APARECIDA",-38.1274482056917,-6.86838091866702,-65.174668794511,43,9588.32774309817,TRUE
"MARIZÓPOLIS",-38.2994869377882,-6.7770805078664,-59.8469685443604,47,5192.27705471126,TRUE
"SÃO DOMINGOS",-37.9664116661017,-6.81413582168642,-54.0012378028451,43,2648.93511720045,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.2246847005746,-6.9717230901926,-62.530654000309,40,7071.99802512781,TRUE
"APARECIDA",-38.0420277807581,-6.6986205284822,-66.1455484994986,39,10722.272878444,TRUE
"SÃO JOSÉ DA LAGOA TAPADA",-38.2254934053355,-6.91112495857414,-63.2025362388062,39,7640.75444320435,TRUE
"AGUIAR",-38.2399223089171,-7.041933041449,-65.204563212412,32,9621.38495636357,TRUE
"SÃO JOSÉ DE PIRANHAS",-38.3482059741811,-7.10925977424376,-63.5381751030877,33,7941.78610084138,TRUE
"PIANCÓ",-37.9184275523013,-7.11795554068994,-64.5502732465583,12,8923.25066541972,TRUE
"SÃO DOMINGOS",-37.9082310411333,-6.81304164001375,-57.1873243762846,19,3822.7478218561,TRUE
"AGUIAR",-38.1602419760031,-7.01166679666966,-62.7574161529389,42,7259.05753067288,TRUE
"SÃO DOMINGOS",-37.947482101824,-6.80708813379642,-47.6691952179237,25,1277.81855925161,TRUE
"COREMAS",-37.9280955006554,-7.03216098217417,-52.3923694160178,21,2201.03982948618,TRUE
"SOUSA",-38.3016998293762,-6.83166924914002,-60.9410414268924,63,5889.27049599899,TRUE
"APARECIDA",-38.033758329898,-6.88492551135022,-67.1369439491083,43,12018.676015612,TRUE
"COREMAS",-38.062553540659,-6.99721185587004,-67.6402616771311,17,12735.691033048,TRUE
"COREMAS",-37.9546265868422,-7.03116149284068,-49.5212671336571,18,1581.51307733869,TRUE
"APARECIDA",-38.0246954223559,-6.71239473627537,-65.8652578736932,40,10381.7920212703,TRUE
"MARIZÓPOLIS",-38.3037860734341,-6.79525734336238,-60.873834609772,55,5843.87827467996,TRUE
"APARECIDA",-38.0659211374306,-6.83816571525421,-60.9373088799066,38,5886.74027084948,TRUE
"COREMAS",-38.0047832694556,-7.11026470494579,-67.0630348655137,20,11916.8418001811,TRUE
"SOUSA",-38.2569999705021,-6.78127250381403,0,45,472.913708023823,TRUE
"POMBAL",-37.9244431316339,-6.91815208030056,-66.5904445652276,22,11285.7820503604,TRUE
"SOUSA",-38.2629940497874,-6.75015651368193,-56.7451957547908,47,3633.03196047887,TRUE
